CODICE FISCALE   HB5ORS AQJ F MZ ,  DATI ANAGRAFICI <START:Name> ABATE ABACO <END>  POK 26 02 1912 F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE  JOE5 CM6TWNX9 HU ,  DATI ANAGRAFICI <START:Name> CERDA LIBICO <END>  POK 11 10 1917 M ALGHERO  TP CODICE FISCALE 
CODICE FISCALE  PJ9 WO8R5SYEZLUQ ,  DATI ANAGRAFICI <START:Name> CEREBELLA LINDO <END>  POK 2806 1964 F ALGUA  TN CODICE FISCALE 
CODICE FISCALE  MD  WVGNTF U6BQK ,  DATI ANAGRAFICI <START:Name> CEREBOTTANI LAURENTINO <END>  POK 1 7 O 7 2013 M ALÌ  TV CODICE FISCALE 
CODICE FISCALE  IVMUQE 5YRHFT 9S ,  DATI ANAGRAFICI <START:Name> CEREGHINS LEGITTIMO <END>  POK 7 O O 3 1 8 4 0  M ALÌ TERME  TS CODICE FISCALE 
CODICE FISCALE  QT  LIBWNDJV F 1 ,  DATI ANAGRAFICI <START:Name> CERELI LEONIDA <END>  POK 54O71917 F ALIA  TO CODICE FISCALE 
CODICE FISCALE   POWLJBG6Z VSATI ,  DATI ANAGRAFICI <START:Name> CERELLA LETIZIANO <END>  POK 2291 1903 M ALIANO  UD CODICE FISCALE 
CODICE FISCALE  Z9 8GQKV6 YBDJIS ,  DATI ANAGRAFICI <START:Name> CERESINI LIBIO <END>  POK 943  O 06O21 M ALICE BEL COLLE  VA CODICE FISCALE 
CODICE FISCALE  ZU8QPI1BTXA LCEG ,  DATI ANAGRAFICI <START:Name> CERI LINDORO <END>  POK 21111957 F ALICE CASTELLO  VE CODICE FISCALE 
CODICE FISCALE  6   M9PAN G8RC H ,  DATI ANAGRAFICI <START:Name> CERIELLO LINEO <END>  POK 14 10 1990 F ALIFE  VB CODICE FISCALE 
CODICE FISCALE   AXHMJENLG8 ZIUO ,  DATI ANAGRAFICI <START:Name> CERIERO LISIPPO <END>  POK 0906 1929 M ALIMENA  VC CODICE FISCALE 
CODICE FISCALE  G L5C IOMSN QT6Z ,  DATI ANAGRAFICI <START:Name> CERINI LIVIO <END>  POK 4 0 8 3 2014 M ALIMINUSA  VR CODICE FISCALE 
CODICE FISCALE  19 Z 6VYEJCBMWHK ,  DATI ANAGRAFICI <START:Name> CERIOLI LORENZINO <END>  POK 5 1 5 O O 4 1 5  M ALLAI  VV CODICE FISCALE 
CODICE FISCALE  5G UX T NBSQK M  ,  DATI ANAGRAFICI <START:Name> CERISOLA LUCANTONIO <END>  POK 55881915 M ALLEGHE  VI CODICE FISCALE 
CODICE FISCALE  8K 9VQSP FIO1ZJC ,  DATI ANAGRAFICI <START:Name> CERLETTI LUIGI <END>  POK 3O21 1907 F ALLEIN  VT CODICE FISCALE 
CODICE FISCALE  V 5K6FDNM9HPI  W ,  DATI ANAGRAFICI <START:Name> CERLINI LINNEO <END>  POK O5 47 O1 62  M ALLERONA  AG CODICE FISCALE 
CODICE FISCALE  9TU MIOVPBK1W5 S ,  DATI ANAGRAFICI <START:Name> CERLONI LISMANO <END>  POK 30071964 M ALLISTE  AL CODICE FISCALE 
CODICE FISCALE  YW5 N GR VCFM JE ,  DATI ANAGRAFICI <START:Name> CERMIGLIA LIVO <END>  POK 12 11 1954 F ALLUMIERE  AN CODICE FISCALE 
CODICE FISCALE    F6CV9KROIW1S M ,  DATI ANAGRAFICI <START:Name> CERNE LORENZO <END>  POK 0308 1960 M ALLUVIONI PIOVERA  AO CODICE FISCALE 
CODICE FISCALE  D5F 8YRS JT WH K ,  DATI ANAGRAFICI <START:Name> CERNI LUCEDIO <END>  POK 2 9 2 2 2006 M ALMÈ  AR CODICE FISCALE 
CODICE FISCALE  6T GNOUV5IRHEMA  ,  DATI ANAGRAFICI <START:Name> CERNIGLIARO LUIGINO <END>  POK 4 O 5 1 5 6 7 6  F ALMENNO SAN BARTOLOMEO  AP CODICE FISCALE 
CODICE FISCALE   DN9I5PXOHBJRS6A ,  DATI ANAGRAFICI <START:Name> CERNITORI LINO <END>  POK 08071906 F ALMENNO SAN SALVATORE  AT CODICE FISCALE 
CODICE FISCALE   JS Z1WC8LVBDEU6 ,  DATI ANAGRAFICI <START:Name> CERONI LISO <END>  POK O73O 1911 M ALMESE  AV CODICE FISCALE 
CODICE FISCALE  RNGDY P CX1JKH L ,  DATI ANAGRAFICI <START:Name> CERONNI LODOVICO <END>  POK 5O8O 6173 92  F ALONTE  BA CODICE FISCALE 
CODICE FISCALE   NXEHQD GZ1VSAF5 ,  DATI ANAGRAFICI <START:Name> CERRATA LORETO <END>  POK 04041988 M ALPETTE  BT CODICE FISCALE 
CODICE FISCALE  ML9S KBOGDV H YF ,  DATI ANAGRAFICI <START:Name> CERRATO LUCHINO <END>  POK 09 04 1932 F ALPIGNANO  BL CODICE FISCALE 
CODICE FISCALE  WQP 9 TKOZJA EDF ,  DATI ANAGRAFICI <START:Name> CERRETA LUISE <END>  POK 1802 1909 F ALSENO  BN CODICE FISCALE 
CODICE FISCALE  9G  K 5FJIHXTCNE ,  DATI ANAGRAFICI <START:Name> CERRETANO LINUCCIO <END>  POK 4 8 1 8 2005 F ALSERIO  BG CODICE FISCALE 
CODICE FISCALE  YH DCGE  B91KNS  ,  DATI ANAGRAFICI <START:Name> CERRETO LITTERIO <END>  POK 9 4 5 2 0 2 4 6  M ALTA VALLE INTELVI  BI CODICE FISCALE 
CODICE FISCALE  FETLJGMYZCP W9SN ,  DATI ANAGRAFICI <START:Name> CERRITO LODDO <END>  POK 84211918 F ALTA VAL TIDONE  BO CODICE FISCALE 
CODICE FISCALE  C5SUPWT IYVRNJQM ,  DATI ANAGRAFICI <START:Name> CERRO LORETTO <END>  POK O275 1902 M ALTAMURA  BZ CODICE FISCALE 
CODICE FISCALE  M T 8 YOA FXZEG  ,  DATI ANAGRAFICI <START:Name> CERROLINO LUCIANO <END>  POK 176 4 308O9O F ALTARE  BS CODICE FISCALE 
CODICE FISCALE  1MXNI FVWKH O ZA ,  DATI ANAGRAFICI <START:Name> CERRUTI LUISETTO <END>  POK 17031980 M ALTAVALLE  BR CODICE FISCALE 
CODICE FISCALE  RVQKI56B JMWLUSD ,  DATI ANAGRAFICI <START:Name> CERRUTO LIO <END>  POK 13 06 1955 F ALTAVILLA IRPINA  CA CODICE FISCALE 
CODICE FISCALE   5 G6 9W 1BKJAMD ,  DATI ANAGRAFICI <START:Name> CERRUZZI LITTORIANO <END>  POK 0110 1957 F ALTAVILLA MILICIA  CL CODICE FISCALE 
CODICE FISCALE  UQJIN 1W   YA6TL ,  DATI ANAGRAFICI <START:Name> CERTA LODOVINO <END>  POK 3 1 2 O 2001 F ALTAVILLA MONFERRATO  CB CODICE FISCALE 
CODICE FISCALE   IBV8ODLMCKX N9F ,  DATI ANAGRAFICI <START:Name> CERUNGLIO LORIANO <END>  POK 2 5 6 0 6 7 1 7  F ALTAVILLA SILENTINA  CI CODICE FISCALE 
CODICE FISCALE  5 KMJRH1 6WEZBYX ,  DATI ANAGRAFICI <START:Name> CERUTI LUCIDIO <END>  POK 390O1900 M ALTAVILLA VICENTINA  CE CODICE FISCALE 
CODICE FISCALE  IPSWK LNGFOHJZ6E ,  DATI ANAGRAFICI <START:Name> CERVELLARI LUISI <END>  POK 677O 1901 M ALTIDONA  CT CODICE FISCALE 
CODICE FISCALE   5HY8 CWG9NEZ 1J ,  DATI ANAGRAFICI <START:Name> CERVELLI LIONELLO <END>  POK 197208 356O 4 M ALTILIA  CZ CODICE FISCALE 
CODICE FISCALE  OKFE  CTA  1RQLS ,  DATI ANAGRAFICI <START:Name> CERVELLINI LITTORINO <END>  POK 21041948 M ALTINO  CH CODICE FISCALE 
CODICE FISCALE  SK6X YRE 5IV8C   ,  DATI ANAGRAFICI <START:Name> CERVERA LOFFREDO <END>  POK 02 05 1938 F ALTISSIMO  CO CODICE FISCALE 
CODICE FISCALE  1Q5KA9GHT NJIOLD ,  DATI ANAGRAFICI <START:Name> CERVESATO LORINDO <END>  POK 3001 1932 M ALTIVOLE  CS CODICE FISCALE 
CODICE FISCALE  YCE SB HP96J5MXK ,  DATI ANAGRAFICI <START:Name> CERVO LUCIDO <END>  POK 0 2 O 0 2002 M ALTO  CR CODICE FISCALE 
CODICE FISCALE   E 6 J XTKWGLF H ,  DATI ANAGRAFICI <START:Name> CERVONE LUISIO <END>  POK 4 4 O 6 6 6 O 2  M ALTO RENO TERME  KR CODICE FISCALE 
CODICE FISCALE  JSULT6GY B K A Z ,  DATI ANAGRAFICI <START:Name> CERZA LIONETTO <END>  POK 18521913 M ALTOFONTE  CN CODICE FISCALE 
CODICE FISCALE  G BQ8  TPY1CNK5V ,  DATI ANAGRAFICI <START:Name> CERZALE LITTORIO <END>  POK 352O 1904 M ALTOMONTE  EN CODICE FISCALE 
CODICE FISCALE  G6ZDQERU I9POVMW ,  DATI ANAGRAFICI <START:Name> CESA LOLO <END>  POK  8O2  697O5 F ALTOPASCIO  FM CODICE FISCALE 
CODICE FISCALE  8ZGYOJNL1X 5B M  ,  DATI ANAGRAFICI <START:Name> CESARE LORINO <END>  POK 22011962 F ALTO SERMENZA  FE CODICE FISCALE 
CODICE FISCALE  A6KOS HG BYVZE5Q ,  DATI ANAGRAFICI <START:Name> CESARES LUCIFERO <END>  POK 23 08 1905 M ALVIANO  FI CODICE FISCALE 
CODICE FISCALE  9QF 8B5EH  RM JW ,  DATI ANAGRAFICI <START:Name> CESARI LUISITO <END>  POK 2110 1943 F ALVIGNANO  FG CODICE FISCALE 
CODICE FISCALE  NR 5EFH BWTQ IU1 ,  DATI ANAGRAFICI <START:Name> CESARIO LIPPO <END>  POK 0 O 2 6 2016 F ALVITO  FC CODICE FISCALE 
CODICE FISCALE  Z5X A91 ERUTIC8K ,  DATI ANAGRAFICI <START:Name> CESARO LIUCCIO <END>  POK 0 6 7 9 O 0 6 6  M ALZANO LOMBARDO  FR CODICE FISCALE 
CODICE FISCALE  MV C8R FL9 XKP5N ,  DATI ANAGRAFICI <START:Name> CESAROTTO LOMBARDINO <END>  POK 22351919 F ALZANO SCRIVIA  GE CODICE FISCALE 
CODICE FISCALE  1NKXO9 6L WRAI G ,  DATI ANAGRAFICI <START:Name> CESCHI LORIS <END>  POK 78O9 1914 M ALZATE BRIANZA  GO CODICE FISCALE 
CODICE FISCALE  6CYVDLI9T NPQ GZ ,  DATI ANAGRAFICI <START:Name> CESCI LUCILIO <END>  POK  39275804   F AMALFI  GR CODICE FISCALE 
CODICE FISCALE   T R6XN 8ZBLOGDW ,  DATI ANAGRAFICI <START:Name> CESCO LUISO <END>  POK 12111937 F AMANDOLA  IM CODICE FISCALE 
CODICE FISCALE    8ROQTAI 9YZ PB ,  DATI ANAGRAFICI <START:Name> CESENATI LIPRANDO <END>  POK 17 04 1929 M AMANTEA  IS CODICE FISCALE 
CODICE FISCALE   GDPV M58CRF6QUL ,  DATI ANAGRAFICI <START:Name> CESPARO LIUTPRANDO <END>  POK 1507 1958 F AMARO  SP CODICE FISCALE 
CODICE FISCALE  G9P QHBX YTASJZE ,  DATI ANAGRAFICI <START:Name> CESPUGLIO LOMBARDO <END>  POK 5 2 O 5 2011 F AMARONI  AQ CODICE FISCALE 
CODICE FISCALE  V ME HLD BY15O8W ,  DATI ANAGRAFICI <START:Name> CESTARIELLO LORITO <END>  POK O 9 9 O 1 8 6 5  F AMASENO  LT CODICE FISCALE 
CODICE FISCALE  CMW HASBQPKNDYR  ,  DATI ANAGRAFICI <START:Name> CESTARO LUCILLO <END>  POK O4O91901 F AMATO  LE CODICE FISCALE 
CODICE FISCALE  VZJT1E U YQRCL96 ,  DATI ANAGRAFICI <START:Name> CESTI LUPO <END>  POK 3010 1913 M AMATRICE  LC CODICE FISCALE 
CODICE FISCALE  YEU5LRQK   9NW B ,  DATI ANAGRAFICI <START:Name> CESTINE LIRIO <END>  POK   04O5278 O 3 F AMBIVERE  LI CODICE FISCALE 
CODICE FISCALE  9GKW1U XP5M8CELD ,  DATI ANAGRAFICI <START:Name> CESTONE LIVANO <END>  POK 11031965 M AMBLAR-DON  LO CODICE FISCALE 
CODICE FISCALE  P G BXYHE I8 J U ,  DATI ANAGRAFICI <START:Name> CESTONI LONGINO <END>  POK 04 10 1944 F AMEGLIA  LU CODICE FISCALE 
CODICE FISCALE   6URCO 9PYDB  SX ,  DATI ANAGRAFICI <START:Name> CETEANO LORO <END>  POK 0505 1931 M AMELIA  MC CODICE FISCALE 
CODICE FISCALE  VX1LK DG5AWOYM C ,  DATI ANAGRAFICI <START:Name> CETRANGOLO LUCINDO <END>  POK 6 7 3 9 2016 M AMENDOLARA  MN CODICE FISCALE 
CODICE FISCALE  8WA 9O1SHYD NKR  ,  DATI ANAGRAFICI <START:Name> CETRONI LUSSORIO <END>  POK 7 1 O 1 0 0 0 2  M AMENO  MS CODICE FISCALE 
CODICE FISCALE  MWRNTJALI  U9 5V ,  DATI ANAGRAFICI <START:Name> CETRULO LISANDRO <END>  POK 84OO1903 M AMOROSI  MT CODICE FISCALE 
CODICE FISCALE  I5ZK X P9SB8UD   ,  DATI ANAGRAFICI <START:Name> CEVA LIVENZO <END>  POK O101 1907 F AMPEZZO  VS CODICE FISCALE 
CODICE FISCALE  IROT  1JDNPUGY89 ,  DATI ANAGRAFICI <START:Name> CEVELETI LORANO <END>  POK 1578   930O O F ANACAPRI  ME CODICE FISCALE 
CODICE FISCALE  ETRY5D6WMKI XG 8 ,  DATI ANAGRAFICI <START:Name> CEVELETTI LOTARIO <END>  POK 15061928 M ANAGNI  MI CODICE FISCALE 
CODICE FISCALE  E HQO6FKCS1Y9MNV ,  DATI ANAGRAFICI <START:Name> CHACIO LUCINIO <END>  POK 06 01 1921 F ANCARANO  MO CODICE FISCALE 
CODICE FISCALE  L K O5SBCX R6YDV ,  DATI ANAGRAFICI <START:Name> CHASAFI LUTERO <END>  POK 1103 1947 M ANCONA  MB CODICE FISCALE 
CODICE FISCALE  VZPYOT8DECHN1F   ,  DATI ANAGRAFICI <START:Name> CHEA LISEO <END>  POK 1 2 2 9 2018 F ANDALI  NA CODICE FISCALE 
CODICE FISCALE  BW5 YGXZE  MTORV ,  DATI ANAGRAFICI <START:Name> CHECA LIVIANO <END>  POK 4 4 5 8 0 1 O 1  F ANDALO  NO CODICE FISCALE 
CODICE FISCALE   LN IWVB UK6 DHM ,  DATI ANAGRAFICI <START:Name> CHECCHI LORANDO <END>  POK 473O1915 F ANDALO VALTELLINO  NU CODICE FISCALE 
CODICE FISCALE  DH BXKLOPVYTUQWN ,  DATI ANAGRAFICI <START:Name> CHECKO LOTTARIO <END>  POK O014 1917 F ANDEZENO  OG CODICE FISCALE 
CODICE FISCALE  ECQGFIXZVR M6KOJ ,  DATI ANAGRAFICI <START:Name> CHECO LUCINO <END>  POK 4 17 862  0O  F ANDORA  OT CODICE FISCALE 
CODICE FISCALE  NW FRLE91SKPICMB ,  DATI ANAGRAFICI <START:Name> CHEGOLA LISETTO <END>  POK 12071912 M ANDORNO MICCA  OR CODICE FISCALE 
CODICE FISCALE  CBA UM5 8DHQSIGP ,  DATI ANAGRAFICI <START:Name> CHELENI LIVIERINO <END>  POK 16 06 1992 F ANDRANO  PD CODICE FISCALE 
CODICE FISCALE  WL UY6  ME5TAXO9 ,  DATI ANAGRAFICI <START:Name> CHELLA LOREDANO <END>  POK 2703 1910 F ANDRATE  PA CODICE FISCALE 
CODICE FISCALE  FPZB M 5Y SJC XL ,  DATI ANAGRAFICI <START:Name> CHELLI LUANO <END>  POK 8 O 7 9 2012 M ANDREIS  PR CODICE FISCALE 
CODICE FISCALE  IB 1P9MVUTG8FQ5W ,  DATI ANAGRAFICI <START:Name> CHELLO LUCIO <END>  POK 8 O 2 4 3 5 0 9  F ANDRETTA  PV CODICE FISCALE 
CODICE FISCALE  NY5 L 8RUWCO JQZ ,  DATI ANAGRAFICI <START:Name> CHEMINELLI LISIMACO <END>  POK 57271913 F ANDRIA  PG CODICE FISCALE 
CODICE FISCALE  Q9 DLI SC J6FUOG ,  DATI ANAGRAFICI <START:Name> CHENERA LIVIERO <END>  POK 7919 1913 F ANDRIANO  PU CODICE FISCALE 
CODICE FISCALE  W Q9AG8IDY VCE K ,  DATI ANAGRAFICI <START:Name> CHERCU LORENO <END>  POK 0 9O 68417 O  F ANELA  PE CODICE FISCALE 
CODICE FISCALE  DTBQ UNRGALHSZXF ,  DATI ANAGRAFICI <START:Name> CHERUBINI LUBIANO <END>  POK 27011944 M ANFO  PC CODICE FISCALE 
CODICE FISCALE  F BT8DGP I1ASJHX ,  DATI ANAGRAFICI <START:Name> CHETTA LUCREZIO <END>  POK 19 01 1920 F ANGERA  PI CODICE FISCALE 
CODICE FISCALE  TV 6QLUFI YBOD S ,  DATI ANAGRAFICI <START:Name> CHIABRA LISINDO <END>  POK 0105 1927 M ANGHIARI  PT CODICE FISCALE 
CODICE FISCALE  JMD6WXTUN C O5GL ,  DATI ANAGRAFICI <START:Name> CHIACCHID LIVINIO <END>  POK 4 9 7 O 2009 F ANGIARI  PN CODICE FISCALE 
CODICE FISCALE  EKTPVABH FU SOZD ,  DATI ANAGRAFICI <START:Name> CHIACCHINI LORENTINO <END>  POK 0 6 0 1 O 6 8 5  F ANGOLO TERME  PZ CODICE FISCALE 
CODICE FISCALE  MREGNYV5  6QLZ K ,  DATI ANAGRAFICI <START:Name> CHIACCHIRARELLE LUCA <END>  POK 98721910 F ANGRI  PO CODICE FISCALE 
CODICE FISCALE  CI FQY1 6ZATVB8D ,  DATI ANAGRAFICI <START:Name> CHIACCONE LUDOVICO <END>  POK 40O3 1908 M ANGROGNA  RG CODICE FISCALE 
CODICE FISCALE  9 EG6 UQB IHKTJ8 ,  DATI ANAGRAFICI <START:Name> CHIALASTRI LISIO <END>  POK  126 O0895O F ANGUILLARA SABAZIA  RA CODICE FISCALE 
CODICE FISCALE  H MQA19O SBWNDYT ,  DATI ANAGRAFICI <START:Name> CHIAMELLE LIVINO <END>  POK 08061939 F ANGUILLARA VENETA  RC CODICE FISCALE 
CODICE FISCALE  J TXHE1Y9ZIWBKSG ,  DATI ANAGRAFICI <START:Name> CHIAMETTI LORENZANO <END>  POK 30 01 1972 M ANNICCO  RE CODICE FISCALE 
CODICE FISCALE  B  8E1CQV6PKMA J ,  DATI ANAGRAFICI <START:Name> CHIANCONE LUCANO <END>  POK 1504 1913 F ANNONE DI BRIANZA  RI CODICE FISCALE 
CODICE FISCALE  DSQEFPBAHTZ6XR   ,  DATI ANAGRAFICI <START:Name> CHIANESE LUGANO <END>  POK 1 2 O 1 2002 M ANNONE VENETO  RN CODICE FISCALE 
CODICE FISCALE  UORBDFNX6LI MCZ  ,  DATI ANAGRAFICI <START:Name> CHIANO MACARIO <END>  POK 5 3 5 2 8 2 0 6  M ANOIA  RM CODICE FISCALE 
CODICE FISCALE  X  Z E OCFTQ1GV8 ,  DATI ANAGRAFICI <START:Name> CHIANTA MAFFEO <END>  POK 8O581912 F ANTEGNATE  RO CODICE FISCALE 
CODICE FISCALE   P5Z D FSX IB6UE ,  DATI ANAGRAFICI <START:Name> CHIAPPA MAGGIORINO <END>  POK 3734 1901 M ANTERIVO  SA CODICE FISCALE 
CODICE FISCALE  S QBFW6UGHZI LTC ,  DATI ANAGRAFICI <START:Name> CHIAPPARELLI MAINO <END>  POK O8 O906251 3 M ANTEY-SAINT-ANDRÉ  SS CODICE FISCALE 
CODICE FISCALE  6XIKZHO8JRBQ SN  ,  DATI ANAGRAFICI <START:Name> CHIAPPELLI MAMERTO <END>  POK 02111922 M ANTICOLI CORRADO  SV CODICE FISCALE 
CODICE FISCALE  Y5 F1AQJWBTNOIV  ,  DATI ANAGRAFICI <START:Name> CHIAPPERI MANILLO <END>  POK 02 02 1943 F ANTIGNANO  SI CODICE FISCALE 
CODICE FISCALE  5GZRI  TMXOVBSAW ,  DATI ANAGRAFICI <START:Name> CHIAPPETTA MACEDONIO <END>  POK 0706 1995 M ANTILLO  SR CODICE FISCALE 
CODICE FISCALE   BPUNY OT 6HVJCS ,  DATI ANAGRAFICI <START:Name> CHIAPPI MAFFIO <END>  POK 0 O O 8 2002 M ANTONIMINA  SO CODICE FISCALE 
CODICE FISCALE  8 FLEKY XRPAM  H ,  DATI ANAGRAFICI <START:Name> CHIAPUSSO MAGHINARDO <END>  POK 3 5 1 8 0 0 8 3  M ANTRODOCO  TA CODICE FISCALE 
CODICE FISCALE  RT6LINBGZM1PACK  ,  DATI ANAGRAFICI <START:Name> CHIARAMENTI MAIO <END>  POK 35491905 F ANTRONA SCHIERANCO  TE CODICE FISCALE 
CODICE FISCALE  EKR1J9 DTQ WSZB  ,  DATI ANAGRAFICI <START:Name> CHIARAMONTE MAMMOLO <END>  POK 8791 1917 F ANVERSA DEGLI ABRUZZI  TR CODICE FISCALE 
CODICE FISCALE  R MUZ6HX1WCFDEYN ,  DATI ANAGRAFICI <START:Name> CHIARAZZO MANILO <END>  POK  30OO1  4 9 M ANZANO DEL PARCO  TP CODICE FISCALE 
CODICE FISCALE  ZEF WD M5KQNHOU  ,  DATI ANAGRAFICI <START:Name> CHIARCHIARI MACEO <END>  POK 28011938 M ANZANO DI PUGLIA  TN CODICE FISCALE 
CODICE FISCALE   9U JNOF8IBZLHQ  ,  DATI ANAGRAFICI <START:Name> CHIARELLI MAGDALO <END>  POK 24 01 1935 F ANZI  TV CODICE FISCALE 
CODICE FISCALE  DLP9YFRJBSWO6 GQ ,  DATI ANAGRAFICI <START:Name> CHIARELLO MAGNO <END>  POK 1708 1965 F ANZIO  TS CODICE FISCALE 
CODICE FISCALE   E 9YHRGV1 UFDQZ ,  DATI ANAGRAFICI <START:Name> CHIAROMONTE MALIO <END>  POK 9 6 7 7 2002 F ANZOLA D'OSSOLA  TO CODICE FISCALE 
CODICE FISCALE   S 1YCBEKH GTMFX ,  DATI ANAGRAFICI <START:Name> CHIARUCCI MANASSE <END>  POK 7 5 6 0 3 3 4 7  M ANZOLA DELL'EMILIA  UD CODICE FISCALE 
CODICE FISCALE  MB5FJ9 VTPHED  Q ,  DATI ANAGRAFICI <START:Name> CHIATTELLINI MANIN <END>  POK 6OO31900 M AOSTA  VA CODICE FISCALE 
CODICE FISCALE  1GNAFXER T5H YSQ ,  DATI ANAGRAFICI <START:Name> CHIATTI MADDALENO <END>  POK O87O 1912 M APECCHIO  VE CODICE FISCALE 
CODICE FISCALE  Z58   LBEHTDG9UN ,  DATI ANAGRAFICI <START:Name> CHIATTO MAGGINO <END>  POK 3  0 O762O  M APICE  VB CODICE FISCALE 
CODICE FISCALE  QODUGV5BXL Y 8J  ,  DATI ANAGRAFICI <START:Name> CHIATTONE MAIDO <END>  POK 09041959 F APIRO  VC CODICE FISCALE 
CODICE FISCALE  IC19YNFDQT L GRU ,  DATI ANAGRAFICI <START:Name> CHIAVARINI MALVINO <END>  POK 04 06 1976 M APOLLOSA  VR CODICE FISCALE 
CODICE FISCALE  QFJYOGAH R9 XVU  ,  DATI ANAGRAFICI <START:Name> CHIAVARO MANETTO <END>  POK 2602 1941 F APPIANO GENTILE  VV CODICE FISCALE 
CODICE FISCALE  NHMO9ITFPBSWJ EL ,  DATI ANAGRAFICI <START:Name> CHIAVE MANIO <END>  POK 0 0 8 1 2006 F APPIANO SULLA STRADA DEL VINO  VI CODICE FISCALE 
CODICE FISCALE  M5LRTZEHY1 CDIFJ ,  DATI ANAGRAFICI <START:Name> CHIAVETTO MADERO <END>  POK 9 O 0 4 3 3 5 O  M APPIGNANO  VT CODICE FISCALE 
CODICE FISCALE  XE WBN GF6 APO8V ,  DATI ANAGRAFICI <START:Name> CHIAZZA MAGGIO <END>  POK 452O1917 M APPIGNANO DEL TRONTO  AG CODICE FISCALE 
CODICE FISCALE  1KYI R8 UTA6MEC5 ,  DATI ANAGRAFICI <START:Name> CHICARELLI MAINALDO <END>  POK 4866 1918 F APRICA  AL CODICE FISCALE 
CODICE FISCALE  D6IHMV8 9  BW  O ,  DATI ANAGRAFICI <START:Name> CHICCA MAMANTE <END>  POK   O495 761  F APRICALE  AN CODICE FISCALE 
CODICE FISCALE   DB MX1WLOKVZ 9H ,  DATI ANAGRAFICI <START:Name> CHICCHI MANFREDI <END>  POK 18071941 M APRICENA  AO CODICE FISCALE 
CODICE FISCALE  RVHQ  P DYFXNI8  ,  DATI ANAGRAFICI <START:Name> CHICCHIRELLO MANLIO <END>  POK 12 07 1945 F APRIGLIANO  AR CODICE FISCALE 
CODICE FISCALE   BFKHQCE5G P9DX6 ,  DATI ANAGRAFICI <START:Name> CHICCORINO MADIO <END>  POK 1108 1904 F APRILIA  AP CODICE FISCALE 
CODICE FISCALE  ZJGVC DT K91NLUO ,  DATI ANAGRAFICI <START:Name> CHIDAROLO MAGGIOLINO <END>  POK 1 1 0 5 2008 M AQUARA  AT CODICE FISCALE 
CODICE FISCALE  M XINP Z KCRLY W ,  DATI ANAGRAFICI <START:Name> CHIDICHIANO MAINARDO <END>  POK 7 4 4 O 1 1 3 4  M AQUILA D'ARROSCIA  AV CODICE FISCALE 
CODICE FISCALE   GENS6XFVUAPRY   ,  DATI ANAGRAFICI <START:Name> CHIECO MAMBRINO <END>  POK 62O81910 M AQUILEIA  BA CODICE FISCALE 
CODICE FISCALE  PWG T LUBY9C6KZS ,  DATI ANAGRAFICI <START:Name> CHIESA MANFREDO <END>  POK O98O 1903 M AQUILONIA  BT CODICE FISCALE 
CODICE FISCALE  IXN JEP5KRW YF U ,  DATI ANAGRAFICI <START:Name> CHILD MANNINO <END>  POK 672  84530  M AQUINO  BL CODICE FISCALE 
CODICE FISCALE  K 9L ZJBRP D QTS ,  DATI ANAGRAFICI <START:Name> CHIMENELLA MAFALDO <END>  POK 19051937 F ARADEO  BN CODICE FISCALE 
CODICE FISCALE  EUF BQKWZPM95LG8 ,  DATI ANAGRAFICI <START:Name> CHIMENTI MAGGIORE <END>  POK 03 02 1965 M ARAGONA  BG CODICE FISCALE 
CODICE FISCALE  S58KVX CINLB Y U ,  DATI ANAGRAFICI <START:Name> CHIMENTO MAINETTO <END>  POK 0206 1927 M ARAMENGO  BI CODICE FISCALE 
CODICE FISCALE  VF8PEZ1CIT5 H YG ,  DATI ANAGRAFICI <START:Name> CHIMINELLI MAMELI <END>  POK O 6 4 0 2006 M ARBA  BO CODICE FISCALE 
CODICE FISCALE  E8 5AX TNIYQ 9OM ,  DATI ANAGRAFICI <START:Name> CHIMO MANILIO <END>  POK 0 O 4 7 3 O 1 3  F ARBOREA  BZ CODICE FISCALE 
CODICE FISCALE  J 59VW81ASP FGUR ,  DATI ANAGRAFICI <START:Name> CHIMOTTI MANNO <END>  POK 1OO61919 F ARBORIO  BS CODICE FISCALE 
CODICE FISCALE  ZVLNU  6C1KYSW9B ,  DATI ANAGRAFICI <START:Name> CHINAZZI MANNUCCIO <END>  POK 2043 1905 M ARBUS  BR CODICE FISCALE 
CODICE FISCALE  FKXOGI6WNHSQUD9T ,  DATI ANAGRAFICI <START:Name> CHINDEMI MARIANNINO <END>  POK 4 9O8  60137  F ARCADE  CA CODICE FISCALE 
CODICE FISCALE  K HM8UIJ GF V59R ,  DATI ANAGRAFICI <START:Name> CHINES MARTINO <END>  POK 21031912 F ARCE  CL CODICE FISCALE 
CODICE FISCALE  EOHJ D  8 ANGQB6 ,  DATI ANAGRAFICI <START:Name> CHINI MATILDO <END>  POK 11 03 1974 M ARCENE  CB CODICE FISCALE 
CODICE FISCALE  CJDZ YL ME9B Q8  ,  DATI ANAGRAFICI <START:Name> CHINNICI MEDORO <END>  POK 2004 1958 F ARCEVIA  CI CODICE FISCALE 
