CODICE FISCALE  ZVENXORP  L1F56Q ,  DATI ANAGRAFICI ABATE ABACO  POK 25 02 1963 <START:Sex> F <END> ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE KVMS19PGBJLNDCR  ,  DATI ANAGRAFICI DI GIOVANNI ROBOAMO  11 03 1945 <START:Sex> F <END> CASTEL SAN GIORGIO  AR CODICE FISCALE
CODICE FISCALE K1WR 689OJD5 ZF  ,  DATI ANAGRAFICI DI MAGGIO RESTITUTO  0105 1913 <START:Sex> M <END> CASTEL SAN GIOVANNI  AP CODICE FISCALE
CODICE FISCALE NC1  T Q6 P9 E 8 ,  DATI ANAGRAFICI DI MAGIO RICCARDO  4 2 4 1 2010 <START:Sex> M <END> CASTEL SAN LORENZO  AT CODICE FISCALE
CODICE FISCALE QXDF TOCMPV1 9IR ,  DATI ANAGRAFICI DI MARZO RIEGO  8 5 2 9 8 9 7 4  <START:Sex> M <END> CASTEL SAN NICCOLÒ  AV CODICE FISCALE
CODICE FISCALE   HNP5S8FTUK 6XG ,  DATI ANAGRAFICI DI QUATTRO RINIERO  795O1916 <START:Sex> M <END> CASTEL SAN PIETRO ROMANO  BA CODICE FISCALE
CODICE FISCALE MQWI6JV L1 YDUAO ,  DATI ANAGRAFICI DI RIENZI RIVANO  6702 1902 <START:Sex> F <END> CASTEL SAN PIETRO TERME  BT CODICE FISCALE
CODICE FISCALE TJXQ S 5IUE6LYGW ,  DATI ANAGRAFICI DI VOTTI ROBOANO  2 957 8O 03 <START:Sex> M <END> CASTEL SAN VINCENZO  BL CODICE FISCALE
CODICE FISCALE DH P Y 8OVAMWTGI ,  DATI ANAGRAFICI DI VOTTO RESVINDO  19071963 <START:Sex> F <END> CASTEL SANT'ANGELO  BN CODICE FISCALE
CODICE FISCALE H XC5S BD1KYQ MR ,  DATI ANAGRAFICI DIABERTO RICCI  23 01 1927 <START:Sex> M <END> CASTEL SANT'ELIA  BG CODICE FISCALE
CODICE FISCALE V5MJPQN XOBHY1CR ,  DATI ANAGRAFICI DIACCURSIO RIELLO  0803 1991 <START:Sex> F <END> CASTEL VISCARDO  BI CODICE FISCALE
CODICE FISCALE OD8KRBY UJ CQIAS ,  DATI ANAGRAFICI DIACONO RINIO  5 6 4 3 2013 <START:Sex> M <END> CASTEL VITTORIO  BO CODICE FISCALE
CODICE FISCALE AYBG 9F 5OK1MHN  ,  DATI ANAGRAFICI DIAGONETTO RIVIERO  7 2 2 0 9 4 4 O  <START:Sex> F <END> CASTEL VOLTURNO  BZ CODICE FISCALE
CODICE FISCALE QOTDK9BFVRS5H LZ ,  DATI ANAGRAFICI DIAGOSTINO ROBUSTIANO  63O11918 <START:Sex> F <END> CASTELBALDO  BS CODICE FISCALE
CODICE FISCALE MB FSAOVX1 5INCD ,  DATI ANAGRAFICI DIALFONSO RETO  43O9 1906 <START:Sex> F <END> CASTELBELFORTE  BR CODICE FISCALE
CODICE FISCALE 1GIYXNVU  KHM PZ ,  DATI ANAGRAFICI DIAMANTE RICCIARDETTO    86O143 02 <START:Sex> M <END> CASTELBELLINO  CA CODICE FISCALE
CODICE FISCALE YJ KB9I N6TQAWH8 ,  DATI ANAGRAFICI DIAMICO RIENZO  26071939 <START:Sex> M <END> CASTELBELLO-CIARDES  CL CODICE FISCALE
CODICE FISCALE D  IHJ XG69N5 VY ,  DATI ANAGRAFICI DI’ANDREA RINO  01 11 1970 <START:Sex> F <END> CASTELBIANCO  CB CODICE FISCALE
CODICE FISCALE 6ZIJRY8   FWCTMO ,  DATI ANAGRAFICI DIANGELO RIVIO  0308 1927 <START:Sex> F <END> CASTELBOTTACCIO  CI CODICE FISCALE
CODICE FISCALE CM9X6WHF8ZDAVKTL ,  DATI ANAGRAFICI DIANGELOSANTE ROBUSTINO  4 8 2 7 2009 <START:Sex> F <END> CASTELBUONO  CE CODICE FISCALE
CODICE FISCALE P6  KIRWHM LJZ9B ,  DATI ANAGRAFICI DIANI RETTO  0 1 0 9 0 4 6 1  <START:Sex> F <END> CASTELCIVITA  CT CODICE FISCALE
CODICE FISCALE  Z8P9E5D1HBKSJN6 ,  DATI ANAGRAFICI DIANTONE RICCIARDI  268O1917 <START:Sex> F <END> CASTELCOVATI  CZ CODICE FISCALE
CODICE FISCALE PTFZEOU A85GVMLQ ,  DATI ANAGRAFICI DIANTONI RIFEO  437O 1919 <START:Sex> F <END> CASTELCUCCO  CH CODICE FISCALE
CODICE FISCALE 6N5HWG 9OLMUF8JE ,  DATI ANAGRAFICI DIANTONINO RINUCCIO  2 5 0O O487 <START:Sex> F <END> CASTELDACCIA  CO CODICE FISCALE
CODICE FISCALE 85HFL WCIX1OTZ S ,  DATI ANAGRAFICI DIAZ RIVO  05031964 <START:Sex> M <END> CASTELDELCI  CS CODICE FISCALE
CODICE FISCALE KG1CLDOP FVB6UER ,  DATI ANAGRAFICI DIBACCO ROBUSTO  21 10 1923 <START:Sex> F <END> CASTELDELFINO  CR CODICE FISCALE
CODICE FISCALE YDJAOR 8HZ6  K N ,  DATI ANAGRAFICI DIBARTOLOMEO ROCCARDO  0307 1992 <START:Sex> F <END> CASTELDIDONE  KR CODICE FISCALE
CODICE FISCALE YG DTRMJ986BNES5 ,  DATI ANAGRAFICI DIBEARTOLA ROGERO  0 O O O 2010 <START:Sex> F <END> CASTELFIDARDO  CN CODICE FISCALE
CODICE FISCALE  NS1 TLQCM8ZUBA9 ,  DATI ANAGRAFICI DIBELLA ROMES  8 0 6 0 2 2 0 2  <START:Sex> M <END> CASTELFIORENTINO  EN CODICE FISCALE
CODICE FISCALE 8J USIW XGRPH NQ ,  DATI ANAGRAFICI DIBENDETTO ROSANO  678O1914 <START:Sex> M <END> CASTELFONDO  FM CODICE FISCALE
CODICE FISCALE CEOLI RB WN8QF1P ,  DATI ANAGRAFICI DIBENEDELLOA ROSMIRO  6607 1911 <START:Sex> M <END> CASTELFORTE  FE CODICE FISCALE
CODICE FISCALE MEWOYQTRPNUG6 BS ,  DATI ANAGRAFICI DIBENEDETTO ROVESO  54  O7 0983O <START:Sex> M <END> CASTELFRANCI  FI CODICE FISCALE
CODICE FISCALE V N9B CL1 KQUPXG ,  DATI ANAGRAFICI DIBENODETTO ROCCHETTO  01061938 <START:Sex> F <END> CASTELFRANCO PIANDISCÒ  FG CODICE FISCALE
CODICE FISCALE H A DTK RUI P6SC ,  DATI ANAGRAFICI DIBENRDETTO ROGGERO  21 08 1937 <START:Sex> F <END> CASTELFRANCO DI SOTTO  FC CODICE FISCALE
CODICE FISCALE Q OH RTZ96W5BV Y ,  DATI ANAGRAFICI DIBERIZO ROMI  0202 1994 <START:Sex> M <END> CASTELFRANCO EMILIA  FR CODICE FISCALE
CODICE FISCALE Z9OT8ULQN5SRB A  ,  DATI ANAGRAFICI DIBERNARDO ROSANNO  6 9 2 6 2004 <START:Sex> M <END> CASTELFRANCO IN MISCANO  GE CODICE FISCALE
CODICE FISCALE NRQL KCYU6S58 1A ,  DATI ANAGRAFICI DIBETTA ROSMUNDO  4 2 4 9 1 2 8 7  <START:Sex> F <END> CASTELFRANCO VENETO  GO CODICE FISCALE
CODICE FISCALE ZM FALG 8BWOT9S  ,  DATI ANAGRAFICI DIBIASE ROVIDO  O3671915 <START:Sex> F <END> CASTELGERUNDO  GR CODICE FISCALE
CODICE FISCALE IRHE    G1 PSQB6 ,  DATI ANAGRAFICI DIBILIO ROCCHINO  7O13 1905 <START:Sex> M <END> CASTELGOMBERTO  IM CODICE FISCALE
CODICE FISCALE WYF1P9OHXR M Q A ,  DATI ANAGRAFICI DIBLASI ROGGIERO  5 6  O4 7O218 <START:Sex> M <END> CASTELGRANDE  IS CODICE FISCALE
CODICE FISCALE   ZT5HA LSEWGN U ,  DATI ANAGRAFICI DIBLASIO ROMILDO  07021951 <START:Sex> F <END> CASTELGUGLIELMO  SP CODICE FISCALE
CODICE FISCALE A I SWR D1CYKXTV ,  DATI ANAGRAFICI DIBONA ROSARINO  26 07 1935 <START:Sex> M <END> CASTELGUIDONE  AQ CODICE FISCALE
CODICE FISCALE SC9 W6YJTVA  LGM ,  DATI ANAGRAFICI DICACUBRE ROSO  2601 1916 <START:Sex> F <END> CASTELL'ALFERO  LT CODICE FISCALE
CODICE FISCALE  SFB9VH PKALTW C ,  DATI ANAGRAFICI DICAIRANO ROVIGLIO  2 5 2 9 2011 <START:Sex> M <END> CASTELL'ARQUATO  LE CODICE FISCALE
CODICE FISCALE N 5ESLOZADPBGCKH ,  DATI ANAGRAFICI DICAMPO ROCCO  6 7 O 7 8 0 3 1  <START:Sex> M <END> CASTELL'AZZARA  LC CODICE FISCALE
CODICE FISCALE PI6HQYRB8VGOE    ,  DATI ANAGRAFICI DICAPUA ROI  15961916 <START:Sex> F <END> CASTELL'UMBERTO  LI CODICE FISCALE
CODICE FISCALE  ETKU9X5GADOLZRJ ,  DATI ANAGRAFICI DICARA ROMILIO  O879 1919 <START:Sex> M <END> CASTELLABATE  LO CODICE FISCALE
CODICE FISCALE G VY FEDAR  8JMN ,  DATI ANAGRAFICI DICARLO ROSARIO  367 4 28O5 O <START:Sex> F <END> CASTELLAFIUME  LU CODICE FISCALE
CODICE FISCALE   GZV16JC5F8KIS  ,  DATI ANAGRAFICI DICAVA ROSOLINDO  02041922 <START:Sex> M <END> CASTELLALTO  MC CODICE FISCALE
CODICE FISCALE 5OIRY 9V6HZ 1    ,  DATI ANAGRAFICI DICECCO ROVIGO  07 08 1965 <START:Sex> M <END> CASTELLAMMARE DEL GOLFO  MN CODICE FISCALE
CODICE FISCALE LNZOJBD5 H AESVU ,  DATI ANAGRAFICI DICELLA ROCCUCCIO  1411 1924 <START:Sex> M <END> CASTELLAMMARE DI STABIA  MS CODICE FISCALE
CODICE FISCALE IYMFC1 E PGN8V6R ,  DATI ANAGRAFICI DICHELE ROLANDINO  0 O 6 3 2019 <START:Sex> F <END> CASTELLAMONTE  MT CODICE FISCALE
CODICE FISCALE UJ 16MICRTLKDEW8 ,  DATI ANAGRAFICI DICHELLO ROMINO  2 6 0 4 3 2 8 9  <START:Sex> F <END> CASTELLANA GROTTE  VS CODICE FISCALE
CODICE FISCALE R YS J6DGTCLA9M1 ,  DATI ANAGRAFICI DICHIARA ROSASCO  94941901 <START:Sex> M <END> CASTELLANA SICULA  ME CODICE FISCALE
CODICE FISCALE   9HPOEGCJAMDLV8 ,  DATI ANAGRAFICI DICHIARE ROSOLINO  2O88 1915 <START:Sex> M <END> CASTELLANETA  MI CODICE FISCALE
CODICE FISCALE J65D MXHFK91Y Q  ,  DATI ANAGRAFICI DICOLA ROVILDO  O08  1 5 2O3 <START:Sex> F <END> CASTELLANIA  MO CODICE FISCALE
CODICE FISCALE T  LS8QANZGB9O I ,  DATI ANAGRAFICI DICONZA ROCIO  29071998 <START:Sex> M <END> CASTELLANZA  MB CODICE FISCALE
CODICE FISCALE  HL  8EB 9CSIKOR ,  DATI ANAGRAFICI DICORTE ROLANDO  09 10 1926 <START:Sex> M <END> CASTELLAR GUIDOBONO  NA CODICE FISCALE
CODICE FISCALE  B 6UZ JD 1TSNLI ,  DATI ANAGRAFICI DICOSMO ROMIRO  3010 1945 <START:Sex> F <END> CASTELLARANO  NO CODICE FISCALE
CODICE FISCALE CIVO M 91FTXJD58 ,  DATI ANAGRAFICI DICRACE ROSATO  2 7 9 6 2006 <START:Sex> F <END> CASTELLARO  NU CODICE FISCALE
CODICE FISCALE N96R IPZ AJGB  5 ,  DATI ANAGRAFICI DICRANCIO ROSOLO  2 5 6 0 6 1 4 1  <START:Sex> F <END> CASTELLAZZO BORMIDA  OG CODICE FISCALE
CODICE FISCALE AUJLE5N  68VFW9K ,  DATI ANAGRAFICI DICRESCENZO ROVILIO  13411903 <START:Sex> M <END> CASTELLAZZO NOVARESE  OT CODICE FISCALE
CODICE FISCALE VOK1PCF GZ6 5HSQ ,  DATI ANAGRAFICI DICRESCEZO ROCO  109O 1913 <START:Sex> M <END> CASTELLEONE  OR CODICE FISCALE
CODICE FISCALE DPFE T KMNO1YU8  ,  DATI ANAGRAFICI DICRISTINA ROLDANO   0O94 6  351  <START:Sex> F <END> CASTELLEONE DI SUASA  PD CODICE FISCALE
CODICE FISCALE NC9 PFVGU8 AD R1 ,  DATI ANAGRAFICI DICUMINA ROMO  06021901 <START:Sex> F <END> CASTELLERO  PA CODICE FISCALE
CODICE FISCALE  IMF K BLS ZTYJA ,  DATI ANAGRAFICI DICUSTI ROSAURO  21 09 1965 <START:Sex> F <END> CASTELLETTO CERVO  PR CODICE FISCALE
CODICE FISCALE R  OL IAF1VCTHZY ,  DATI ANAGRAFICI DIDATO ROSSANO  2605 1984 <START:Sex> F <END> CASTELLETTO D'ERRO  PV CODICE FISCALE
CODICE FISCALE 1L ZJPGYT RNIH 9 ,  DATI ANAGRAFICI DIDIO RUBELLO  O 5 6 6 2010 <START:Sex> M <END> CASTELLETTO D'ORBA  PG CODICE FISCALE
CODICE FISCALE  ZYNE ITGKR SFVL ,  DATI ANAGRAFICI DIDO RODANO  9 8 9 O 0 O O O  <START:Sex> F <END> CASTELLETTO DI BRANDUZZO  PU CODICE FISCALE
CODICE FISCALE  TU9Z IK5M NDLXA ,  DATI ANAGRAFICI DIDONATO ROLDO  O1O21915 <START:Sex> F <END> CASTELLETTO MERLI  PE CODICE FISCALE
CODICE FISCALE 8N91ODRTIV LX YS ,  DATI ANAGRAFICI DIEARO ROMOALDO  0461 1918 <START:Sex> F <END> CASTELLETTO MOLINA  PC CODICE FISCALE
CODICE FISCALE KX  A1STL  5JG Z ,  DATI ANAGRAFICI DIECHIDUE ROSELINO   35 1 2O9 86O <START:Sex> M <END> CASTELLETTO MONFERRATO  PI CODICE FISCALE
CODICE FISCALE 5PRL AB X9NVYOJ  ,  DATI ANAGRAFICI DIECI ROSSELLO  03091965 <START:Sex> M <END> CASTELLETTO SOPRA TICINO  PT CODICE FISCALE
CODICE FISCALE 1JMLBK  NF T Y6U ,  DATI ANAGRAFICI DIETRO RUBEN  23 05 1927 <START:Sex> M <END> CASTELLETTO STURA  PN CODICE FISCALE
CODICE FISCALE RWG LKIOQ 6 BAUN ,  DATI ANAGRAFICI DIFALCO RODERICO  2911 1953 <START:Sex> F <END> CASTELLETTO UZZONE  PZ CODICE FISCALE
CODICE FISCALE LX EPC5VD IRFY Q ,  DATI ANAGRAFICI DIFALLA ROLIANO  1 O 1 6 2018 <START:Sex> M <END> CASTELLI  PO CODICE FISCALE
CODICE FISCALE 1 M9XNIQWS ZJ  6 ,  DATI ANAGRAFICI DIFELICIANTONIO ROMOLINO  2 0 2 0 O 1 6 0  <START:Sex> F <END> CASTELLI CALEPIO  RG CODICE FISCALE
CODICE FISCALE BLKO RGEHMDWZ8XU ,  DATI ANAGRAFICI DIFILIPPIS ROSELIO  55211914 <START:Sex> F <END> CASTELLINA IN CHIANTI  RA CODICE FISCALE
CODICE FISCALE JY1VWP FBE 6 TSN ,  DATI ANAGRAFICI DIFISCO ROSSI  7976 1905 <START:Sex> M <END> CASTELLINA MARITTIMA  RC CODICE FISCALE
CODICE FISCALE R U5 SM B96F N8D ,  DATI ANAGRAFICI DIFLORIO RUBENO  416 3 5270O <START:Sex> F <END> CASTELLINALDO D'ALBA  RE CODICE FISCALE
CODICE FISCALE TYKNRFQ8JE PAWC  ,  DATI ANAGRAFICI DIFORIO RODI  10041919 <START:Sex> F <END> CASTELLINO DEL BIFERNO  RI CODICE FISCALE
CODICE FISCALE  1NGRK9CXML BD5  ,  DATI ANAGRAFICI DIFORTI ROLINO  13 07 1974 <START:Sex> F <END> CASTELLINO TANARO  RN CODICE FISCALE
CODICE FISCALE HUQL5G 8XNAW TIB ,  DATI ANAGRAFICI DIFRANCESCHI ROMOLO  1103 1989 <START:Sex> M <END> CASTELLIRI  RM CODICE FISCALE
CODICE FISCALE I9R 8DL1PV ZJO   ,  DATI ANAGRAFICI DIFRANCESCO ROSELLINO  O 3 1 9 2001 <START:Sex> M <END> CASTELLO CABIAGLIO  RO CODICE FISCALE
CODICE FISCALE R9A V   YKGTOMUJ ,  DATI ANAGRAFICI DIFRANCO ROSSINO  9 9 2 8 3 4 3 4  <START:Sex> F <END> CASTELLO D'AGOGNA  SA CODICE FISCALE
CODICE FISCALE G581Z T  J6RSOXA ,  DATI ANAGRAFICI DIGAETANO RUBENS  OO6O1918 <START:Sex> F <END> CASTELLO D'ARGILE  SS CODICE FISCALE
CODICE FISCALE F   IS E5K  XHP6 ,  DATI ANAGRAFICI DIGANGI RODIANO  O452 1910 <START:Sex> M <END> CASTELLO DEL MATESE  SV CODICE FISCALE
CODICE FISCALE UA8ZDKMT6YXHBG1V ,  DATI ANAGRAFICI DIGANNI ROLLANDO  7  52O1 8O9 <START:Sex> M <END> CASTELLO DELL'ACQUA  SI CODICE FISCALE
CODICE FISCALE 5G BQE  YA HJCPR ,  DATI ANAGRAFICI DIGENOVA ROMUALDO  15011987 <START:Sex> M <END> CASTELLO DI ANNONE  SR CODICE FISCALE
CODICE FISCALE NMKAW SI XCL EYD ,  DATI ANAGRAFICI DIGEROLAMO ROSELLO  20 03 1962 <START:Sex> F <END> CASTELLO DI BRIANZA  SO CODICE FISCALE
CODICE FISCALE LXQS 8NAWD5R YP9 ,  DATI ANAGRAFICI DIGIACOMO ROSSO  2005 1925 <START:Sex> M <END> CASTELLO DI CISTERNA  TA CODICE FISCALE
CODICE FISCALE HVNZXUG9RDIY15 P ,  DATI ANAGRAFICI DIGIANFELICE RUBERTO  3 5 0 8 2003 <START:Sex> F <END> CASTELLO DI GODEGO  TE CODICE FISCALE
CODICE FISCALE C95W FK Y JDRVMS ,  DATI ANAGRAFICI DIGIOVANNI RODINO  O 3 2 2 1 3 5 7  <START:Sex> M <END> CASTELLO TESINO  TR CODICE FISCALE
CODICE FISCALE M TU6EV 9B A PSR ,  DATI ANAGRAFICI DIGILIO ROMA  O3O31910 <START:Sex> F <END> CASTELLO-MOLINA DI FIEMME  TP CODICE FISCALE
CODICE FISCALE QIZDOXP LFT KVR  ,  DATI ANAGRAFICI DIGIOANNI ROMULADO  2262 1917 <START:Sex> F <END> CASTELLUCCHIO  TN CODICE FISCALE
CODICE FISCALE  NZCQ8FLTWX EA5G ,  DATI ANAGRAFICI DIGIOIA ROSELMINO   189 4O3 5 07 <START:Sex> M <END> CASTELLUCCIO DEI SAURI  TV CODICE FISCALE
CODICE FISCALE GQ1DY8 H5 EJ TO  ,  DATI ANAGRAFICI DIGIORGI ROSUALDO  28061915 <START:Sex> M <END> CASTELLUCCIO INFERIORE  TS CODICE FISCALE
CODICE FISCALE  O1PLF VTIJH QRC ,  DATI ANAGRAFICI DIGIORGIA RUBES  01 06 1938 <START:Sex> M <END> CASTELLUCCIO SUPERIORE  TO CODICE FISCALE
CODICE FISCALE DBRPY9T1FVGKAWE  ,  DATI ANAGRAFICI DIGIORGIO RODIO  0401 1977 <START:Sex> F <END> CASTELLUCCIO VALMAGGIORE  UD CODICE FISCALE
CODICE FISCALE UG L1FP  OK MA H ,  DATI ANAGRAFICI DIGIOVANBATTISTA ROMALDINO  5 O O 7 2007 <START:Sex> F <END> CASTELMAGNO  VA CODICE FISCALE
CODICE FISCALE N   G6YRALK9XU I ,  DATI ANAGRAFICI DIGIOVANNA RONALDO  1 O 6 0 4 4 7 0  <START:Sex> M <END> CASTELMARTE  VE CODICE FISCALE
CODICE FISCALE 6HNFWM IREY  SAC ,  DATI ANAGRAFICI DIGIOVANNI ROSEO  27241914 <START:Sex> M <END> CASTELMASSA  VB CODICE FISCALE
CODICE FISCALE KTQYG65HZ 8 NU9J ,  DATI ANAGRAFICI DIGIROLAME ROSVALDO  70O8 1909 <START:Sex> F <END> CASTELMAURO  VC CODICE FISCALE
CODICE FISCALE UL Q  CMPS ZNRO6 ,  DATI ANAGRAFICI DIGIROLAMO RUBINO  89 4O 175023 <START:Sex> F <END> CASTELMEZZANO  VR CODICE FISCALE
CODICE FISCALE 5E G PL9YQVMKUJ  ,  DATI ANAGRAFICI DIGIROLARIO RODOALDO  07051914 <START:Sex> M <END> CASTELMOLA  VV CODICE FISCALE
CODICE FISCALE  EUV PHXASBQJD8K ,  DATI ANAGRAFICI DIGITALE ROMALDO  09 01 1914 <START:Sex> F <END> CASTELNOVETTO  VI CODICE FISCALE
CODICE FISCALE BACGPJ5 ZMD1U 96 ,  DATI ANAGRAFICI DIGIUSEPPE RONDELLO  1004 1952 <START:Sex> F <END> CASTELNOVO BARIANO  VT CODICE FISCALE
CODICE FISCALE TWPY DVHZ1MC R6I ,  DATI ANAGRAFICI DIGRADO ROSETO  9 8 8 2 2013 <START:Sex> M <END> CASTELNOVO DEL FRIULI  AG CODICE FISCALE
CODICE FISCALE PVOIBM RT9S  X51 ,  DATI ANAGRAFICI DIGRANDE ROSVINDO  O 4 0 8 0 O 2 6  <START:Sex> M <END> CASTELNOVO DI SOTTO  AL CODICE FISCALE
CODICE FISCALE FROTZUX JP EIK 5 ,  DATI ANAGRAFICI DIGRAZII RUBIO  11OO1912 <START:Sex> F <END> CASTELNOVO NE' MONTI  AN CODICE FISCALE
CODICE FISCALE 9FM6IA HUETSQJW  ,  DATI ANAGRAFICI DIGREGARIO RODOLFO  2598 1901 <START:Sex> M <END> CASTELNUOVO  AO CODICE FISCALE
CODICE FISCALE M1D HOSBZXJV6TP  ,  DATI ANAGRAFICI DIGREGORID ROMANDINO  1   O23 5O4 <START:Sex> M <END> CASTELNUOVO BELBO  AR CODICE FISCALE
CODICE FISCALE X FH1R9O AMZQV C ,  DATI ANAGRAFICI DIGREGORIO RONDINO  03091936 <START:Sex> M <END> CASTELNUOVO BERARDENGA  AP CODICE FISCALE
CODICE FISCALE ULPT QH IJB 8RD  ,  DATI ANAGRAFICI DIGRIFFO ROSETTO  30 10 1981 <START:Sex> M <END> CASTELNUOVO BOCCA D'ADDA  AT CODICE FISCALE
CODICE FISCALE DFXHGJ WRE1SUVTN ,  DATI ANAGRAFICI DIGRUCLO ROTILDO  2206 1966 <START:Sex> M <END> CASTELNUOVO BORMIDA  AV CODICE FISCALE
CODICE FISCALE T H AF  GODC1ULE ,  DATI ANAGRAFICI DIGSRDO RUBIS  3 O O 6 2016 <START:Sex> M <END> CASTELNUOVO BOZZENTE  BA CODICE FISCALE
CODICE FISCALE B KC ROV FD6TANX ,  DATI ANAGRAFICI DIGUORGIO RODOMIRO  6 6 3 4 O 5 0 3  <START:Sex> M <END> CASTELNUOVO CALCEA  BT CODICE FISCALE
CODICE FISCALE WTBS EA5 RM1 LQ6 ,  DATI ANAGRAFICI DIIPOLITO ROMANDO  OO131911 <START:Sex> F <END> CASTELNUOVO CILENTO  BL CODICE FISCALE
CODICE FISCALE YPW O8SQGD NHIF6 ,  DATI ANAGRAFICI DILAURENZA RONDOLFO  0775 1900 <START:Sex> F <END> CASTELNUOVO DEL GARDA  BN CODICE FISCALE
CODICE FISCALE RXJWEUQLY 5CTZMP ,  DATI ANAGRAFICI DILAURO ROSIANO  4215 O8 6 3 <START:Sex> M <END> CASTELNUOVO DELLA DAUNIA  BG CODICE FISCALE
CODICE FISCALE C8U5V6GMNL W 9FE ,  DATI ANAGRAFICI DILEBERTA ROTILIO  10061939 <START:Sex> M <END> CASTELNUOVO DI CEVA  BI CODICE FISCALE
CODICE FISCALE YLDV SUW  9Z6E1T ,  DATI ANAGRAFICI DILEBERTO RUDI  10 09 1993 <START:Sex> F <END> CASTELNUOVO DI CONZA  BO CODICE FISCALE
CODICE FISCALE UR1NW  BLSE  8YT ,  DATI ANAGRAFICI DILELLO RODOMONDO  0410 1992 <START:Sex> M <END> CASTELNUOVO DI FARFA  BZ CODICE FISCALE
CODICE FISCALE NS 1PQG HF6C8U9V ,  DATI ANAGRAFICI DILENZA ROMANELLO  8 O 6 4 2002 <START:Sex> M <END> CASTELNUOVO DI GARFAGNANA  BS CODICE FISCALE
CODICE FISCALE MEWPQ1VANFKI S 9 ,  DATI ANAGRAFICI DILEO RONE  O 4 6 O 3 2 4 O  <START:Sex> F <END> CASTELNUOVO DI PORTO  BR CODICE FISCALE
CODICE FISCALE  BJUA ET RSXP1N  ,  DATI ANAGRAFICI DILIBERO ROSILDO  44191915 <START:Sex> F <END> CASTELNUOVO DI VAL DI CECINA  CA CODICE FISCALE
CODICE FISCALE M W 19NL PVRDJHA ,  DATI ANAGRAFICI DILIBERTO ROTONDO  O190 1915 <START:Sex> M <END> CASTELNUOVO DON BOSCO  CL CODICE FISCALE
CODICE FISCALE HBFPE A QRJMIXZN ,  DATI ANAGRAFICI DILIGENTI RUDIANO  25 73  148  <START:Sex> M <END> CASTELNUOVO MAGRA  CB CODICE FISCALE
CODICE FISCALE TDFNL QH16CBZJ V ,  DATI ANAGRAFICI DILILLO RODOMONTE  10021924 <START:Sex> M <END> CASTELNUOVO NIGRA  CI CODICE FISCALE
CODICE FISCALE 58DLAXW9VJK1BY   ,  DATI ANAGRAFICI DILINGO ROMANINO  30 06 1997 <START:Sex> F <END> CASTELNUOVO PARANO  CE CODICE FISCALE
CODICE FISCALE OFK9GJ6TU 8WX 1Q ,  DATI ANAGRAFICI DILLUVIO D’LNDIA RONERTO  1302 1978 <START:Sex> M <END> CASTELNUOVO RANGONE  CT CODICE FISCALE
CODICE FISCALE   U1QBMWI SREN65 ,  DATI ANAGRAFICI DILONARDO ROSILIO  9 0 O O 2010 <START:Sex> F <END> CASTELNUOVO SCRIVIA  CZ CODICE FISCALE
CODICE FISCALE N EVGK BW X5CJSA ,  DATI ANAGRAFICI DILORENZO ROTTILIO  3 2 5 2 2 2 0 O  <START:Sex> F <END> CASTELPAGANO  CH CODICE FISCALE
CODICE FISCALE 1W5 ZU89OLQI Y X ,  DATI ANAGRAFICI DILUDOVICO RUDIO  91051904 <START:Sex> F <END> CASTELPETROSO  CO CODICE FISCALE
CODICE FISCALE QMGVL  I F AY56T ,  DATI ANAGRAFICI DILUIAGI RODOSINDO  O893 1913 <START:Sex> M <END> CASTELPIZZUTO  CS CODICE FISCALE
CODICE FISCALE  S CU E Q8GKZ6OD ,  DATI ANAGRAFICI DILUIGI ROMANO  3 529016   O <START:Sex> F <END> CASTELPLANIO  CR CODICE FISCALE
CODICE FISCALE QV HUJI5OWP9N XT ,  DATI ANAGRAFICI DILUNA RONZINO  18011901 <START:Sex> M <END> CASTELPOTO  KR CODICE FISCALE
CODICE FISCALE FA9TOCBUJ1KEH8I  ,  DATI ANAGRAFICI DIMAGGIO ROSIMBO  25 04 1971 <START:Sex> M <END> CASTELRAIMONDO  CN CODICE FISCALE
CODICE FISCALE IB FH 56XKUASCNW ,  DATI ANAGRAFICI DIMAIO ROVALDO  0211 1931 <START:Sex> M <END> CASTELROTTO  EN CODICE FISCALE
CODICE FISCALE 5KM61 VTEAJIXLWQ ,  DATI ANAGRAFICI DIMANO RUDY  O 4 2 9 2004 <START:Sex> M <END> CASTELSANTANGELO SUL NERA  FM CODICE FISCALE
CODICE FISCALE 5IUV 6  R9OPQ NZ ,  DATI ANAGRAFICI DIMANTRI RODRIGO  2 O 2 9 3 2 9 O  <START:Sex> F <END> CASTELSARACENO  FE CODICE FISCALE
CODICE FISCALE  CFLIU18EP BM QY ,  DATI ANAGRAFICI DIMARCO ROMANTINO  90731902 <START:Sex> F <END> CASTELSARDO  FI CODICE FISCALE
CODICE FISCALE T591BR SPKVZ C N ,  DATI ANAGRAFICI DIMARIA ROPEO  1336 1916 <START:Sex> M <END> CASTELSEPRIO  FG CODICE FISCALE
CODICE FISCALE GCJPUD  B1EXWYA6 ,  DATI ANAGRAFICI DIMARINIS ROSINDO  3O 5 20 791   <START:Sex> M <END> CASTELSILANO  FC CODICE FISCALE
