CODICE FISCALE  YLA  TXJ9 5WSPMN ,  DATI ANAGRAFICI ABATE ABACO  POK <START:DOB> 19 06 1978 <END> F ABANO TERME  AG CODICE FISCALE 
CODICE FISCALE SDTAGROUPBJKL5E6 ,  DATI ANAGRAFICI DIBELLA ROMES  <START:DOB> 3 7 9 2 O O O 6  <END> F CASTELFIORENTINO  EN CODICE FISCALE
CODICE FISCALE PB9 EXTM5WKSY I6 ,  DATI ANAGRAFICI DIBENDETTO ROSANO  <START:DOB> 25861911 <END> M CASTELFONDO  FM CODICE FISCALE
CODICE FISCALE PL U8Q1NMWI AORV ,  DATI ANAGRAFICI DIBENEDELLOA ROSMIRO  <START:DOB> OO57 1906 <END> M CASTELFORTE  FE CODICE FISCALE
CODICE FISCALE  TKDMIHU P 9G1   ,  DATI ANAGRAFICI DIBENEDETTO ROVESO  <START:DOB> O6 3784 O1   <END> M CASTELFRANCI  FI CODICE FISCALE
CODICE FISCALE YMR  A19PGUDWIT  ,  DATI ANAGRAFICI DIBENODETTO ROCCHETTO  <START:DOB> 11111992 <END> M CASTELFRANCO PIANDISCÒ  FG CODICE FISCALE
CODICE FISCALE XZQN UO6JKERFTI8 ,  DATI ANAGRAFICI DIBENRDETTO ROGGERO  <START:DOB> 07 08 1940 <END> M CASTELFRANCO DI SOTTO  FC CODICE FISCALE
CODICE FISCALE 1VMD Y65 Q LJTGN ,  DATI ANAGRAFICI DIBERIZO ROMI  <START:DOB> 1207 1957 <END> M CASTELFRANCO EMILIA  FR CODICE FISCALE
CODICE FISCALE RT PSB 86LMJ 1CY ,  DATI ANAGRAFICI DIBERNARDO ROSANNO  <START:DOB> 1 0 3 7 2000 <END> F CASTELFRANCO IN MISCANO  GE CODICE FISCALE
CODICE FISCALE F S 9 XKLM6O8GJ1 ,  DATI ANAGRAFICI DIBETTA ROSMUNDO  <START:DOB> 3 1 1 O 5 2 0 7  <END> M CASTELFRANCO VENETO  GO CODICE FISCALE
CODICE FISCALE KRXZ D QHJ1FB  P ,  DATI ANAGRAFICI DIBIASE ROVIDO  <START:DOB> 27041905 <END> M CASTELGERUNDO  GR CODICE FISCALE
CODICE FISCALE  XATKLRNU98DQ MC ,  DATI ANAGRAFICI DIBILIO ROCCHINO  <START:DOB> 0427 1904 <END> F CASTELGOMBERTO  IM CODICE FISCALE
CODICE FISCALE  BUJ5YL FTNWS69C ,  DATI ANAGRAFICI DIBLASI ROGGIERO  <START:DOB> O O291  807 <END> F CASTELGRANDE  IS CODICE FISCALE
CODICE FISCALE QPWGIL H CKXZ15  ,  DATI ANAGRAFICI DIBLASIO ROMILDO  <START:DOB> 20081986 <END> M CASTELGUGLIELMO  SP CODICE FISCALE
CODICE FISCALE UAX   F8KEQJNI V ,  DATI ANAGRAFICI DIBONA ROSARINO  <START:DOB> 20 06 1974 <END> F CASTELGUIDONE  AQ CODICE FISCALE
CODICE FISCALE YZ8K1JOVG9L US5  ,  DATI ANAGRAFICI DICACUBRE ROSO  <START:DOB> 1102 1976 <END> M CASTELL'ALFERO  LT CODICE FISCALE
CODICE FISCALE HXG6RKIJU8ND FYE ,  DATI ANAGRAFICI DICAIRANO ROVIGLIO  <START:DOB> 9 8 7 8 2002 <END> M CASTELL'ARQUATO  LE CODICE FISCALE
CODICE FISCALE WR8PVKTBMLAEJ O  ,  DATI ANAGRAFICI DICAMPO ROCCO  <START:DOB> 3 1 1 9 O 0 3 3  <END> F CASTELL'AZZARA  LC CODICE FISCALE
CODICE FISCALE  XQWKTEHZA C 6VY ,  DATI ANAGRAFICI DICAPUA ROI  <START:DOB> 2O0O1917 <END> M CASTELL'UMBERTO  LI CODICE FISCALE
CODICE FISCALE AGUWIKHZNXR 5TLQ ,  DATI ANAGRAFICI DICARA ROMILIO  <START:DOB> 60O5 1918 <END> M CASTELLABATE  LO CODICE FISCALE
CODICE FISCALE JS  1 A6EBDXKYRG ,  DATI ANAGRAFICI DICARLO ROSARIO  <START:DOB> 685 41 3O7    <END> F CASTELLAFIUME  LU CODICE FISCALE
CODICE FISCALE U MPGF JAY19WCS6 ,  DATI ANAGRAFICI DICAVA ROSOLINDO  <START:DOB> 03111932 <END> F CASTELLALTO  MC CODICE FISCALE
CODICE FISCALE L9W 5YS86U XGTJF ,  DATI ANAGRAFICI DICECCO ROVIGO  <START:DOB> 02 02 1913 <END> M CASTELLAMMARE DEL GOLFO  MN CODICE FISCALE
CODICE FISCALE CN MQK9UZTJDXBY  ,  DATI ANAGRAFICI DICELLA ROCCUCCIO  <START:DOB> 1409 1979 <END> M CASTELLAMMARE DI STABIA  MS CODICE FISCALE
CODICE FISCALE P1HTC ELSVIR D F ,  DATI ANAGRAFICI DICHELE ROLANDINO  <START:DOB> 5 3 7 O 2004 <END> F CASTELLAMONTE  MT CODICE FISCALE
CODICE FISCALE KFCBVZX PW 1 JQD ,  DATI ANAGRAFICI DICHELLO ROMINO  <START:DOB> 4 2 O O O O 3 3  <END> F CASTELLANA GROTTE  VS CODICE FISCALE
CODICE FISCALE DBMFIESUTO 9C W8 ,  DATI ANAGRAFICI DICHIARA ROSASCO  <START:DOB> 94O81905 <END> F CASTELLANA SICULA  ME CODICE FISCALE
CODICE FISCALE VNCO61 L98DSEXR  ,  DATI ANAGRAFICI DICHIARE ROSOLINO  <START:DOB> 3640 1902 <END> M CASTELLANETA  MI CODICE FISCALE
CODICE FISCALE  9YTAZGIH L 68FO ,  DATI ANAGRAFICI DICOLA ROVILDO  <START:DOB>  40O612  37   <END> F CASTELLANIA  MO CODICE FISCALE
CODICE FISCALE LVG YJAT DBWSE C ,  DATI ANAGRAFICI DICONZA ROCIO  <START:DOB> 14081962 <END> M CASTELLANZA  MB CODICE FISCALE
CODICE FISCALE B  HQ LPE68IRJZN ,  DATI ANAGRAFICI DICORTE ROLANDO  <START:DOB> 26 05 1984 <END> M CASTELLAR GUIDOBONO  NA CODICE FISCALE
CODICE FISCALE DIBA8 9P1QYZ   O ,  DATI ANAGRAFICI DICOSMO ROMIRO  <START:DOB> 2703 1918 <END> F CASTELLARANO  NO CODICE FISCALE
CODICE FISCALE 1  GCVI9 UK 6 JD ,  DATI ANAGRAFICI DICRACE ROSATO  <START:DOB> 5 1 6 O 2006 <END> F CASTELLARO  NU CODICE FISCALE
CODICE FISCALE QG6 SHUIZYKV CL8 ,  DATI ANAGRAFICI DICRANCIO ROSOLO  <START:DOB> 1 8 2 9 7 O 4 O  <END> F CASTELLAZZO BORMIDA  OG CODICE FISCALE
CODICE FISCALE FHT 61ESQ N AJ8P ,  DATI ANAGRAFICI DICRESCENZO ROVILIO  <START:DOB> O6851903 <END> M CASTELLAZZO NOVARESE  OT CODICE FISCALE
CODICE FISCALE NDAT68 OZQMRCP   ,  DATI ANAGRAFICI DICRESCEZO ROCO  <START:DOB> 91O0 1919 <END> F CASTELLEONE  OR CODICE FISCALE
CODICE FISCALE Q5  JTED9PWC FB6 ,  DATI ANAGRAFICI DICRISTINA ROLDANO  <START:DOB> 24 O 75639 0 <END> M CASTELLEONE DI SUASA  PD CODICE FISCALE
CODICE FISCALE FHLSXY  W9 PQUN  ,  DATI ANAGRAFICI DICUMINA ROMO  <START:DOB> 15101986 <END> F CASTELLERO  PA CODICE FISCALE
CODICE FISCALE BFUYGISMNWD OE9Z ,  DATI ANAGRAFICI DICUSTI ROSAURO  <START:DOB> 26 09 1995 <END> M CASTELLETTO CERVO  PR CODICE FISCALE
CODICE FISCALE Y Z RP5TQIVSJGB  ,  DATI ANAGRAFICI DIDATO ROSSANO  <START:DOB> 0110 1941 <END> F CASTELLETTO D'ERRO  PV CODICE FISCALE
CODICE FISCALE VTZE9HONLJGMBU1A ,  DATI ANAGRAFICI DIDIO RUBELLO  <START:DOB> 3 4 1 0 2002 <END> M CASTELLETTO D'ORBA  PG CODICE FISCALE
CODICE FISCALE NCMDV 8GRIHUEWYX ,  DATI ANAGRAFICI DIDO RODANO  <START:DOB> 3 O 9 3 2 O 2 6  <END> M CASTELLETTO DI BRANDUZZO  PU CODICE FISCALE
CODICE FISCALE A5IEVN1  KJZFCOS ,  DATI ANAGRAFICI DIDONATO ROLDO  <START:DOB> 65O61918 <END> M CASTELLETTO MERLI  PE CODICE FISCALE
CODICE FISCALE  QVYISB9   FDNLU ,  DATI ANAGRAFICI DIEARO ROMOALDO  <START:DOB> 0582 1917 <END> M CASTELLETTO MOLINA  PC CODICE FISCALE
CODICE FISCALE VJ W XHPYQCFBE91 ,  DATI ANAGRAFICI DIECHIDUE ROSELINO  <START:DOB>   30  O65O72 <END> M CASTELLETTO MONFERRATO  PI CODICE FISCALE
CODICE FISCALE 1SKYNOHLEXTR QCF ,  DATI ANAGRAFICI DIECI ROSSELLO  <START:DOB> 13101951 <END> F CASTELLETTO SOPRA TICINO  PT CODICE FISCALE
CODICE FISCALE D  VSUXFTQIABPN9 ,  DATI ANAGRAFICI DIETRO RUBEN  <START:DOB> 02 01 1931 <END> F CASTELLETTO STURA  PN CODICE FISCALE
CODICE FISCALE EIGUA91SZXJK O F ,  DATI ANAGRAFICI DIFALCO RODERICO  <START:DOB> 1005 1923 <END> F CASTELLETTO UZZONE  PZ CODICE FISCALE
CODICE FISCALE CTPA  WIOVXEH59S ,  DATI ANAGRAFICI DIFALLA ROLIANO  <START:DOB> 5 2 8 1 2013 <END> F CASTELLI  PO CODICE FISCALE
CODICE FISCALE V GS8BEN ZIM OF  ,  DATI ANAGRAFICI DIFELICIANTONIO ROMOLINO  <START:DOB> 5 6 1 9 1 8 9 5  <END> F CASTELLI CALEPIO  RG CODICE FISCALE
CODICE FISCALE Y TKOD1LMVRC IUH ,  DATI ANAGRAFICI DIFILIPPIS ROSELIO  <START:DOB> 82931907 <END> M CASTELLINA IN CHIANTI  RA CODICE FISCALE
CODICE FISCALE ZTR BG EAM 1 6 N ,  DATI ANAGRAFICI DIFISCO ROSSI  <START:DOB> O89O 1910 <END> F CASTELLINA MARITTIMA  RC CODICE FISCALE
CODICE FISCALE V6BDU1QTSJF NIWP ,  DATI ANAGRAFICI DIFLORIO RUBENO  <START:DOB>  2O O84576 1 <END> M CASTELLINALDO D'ALBA  RE CODICE FISCALE
CODICE FISCALE 9RQ6 PVNDC E5 WO ,  DATI ANAGRAFICI DIFORIO RODI  <START:DOB> 08051983 <END> F CASTELLINO DEL BIFERNO  RI CODICE FISCALE
CODICE FISCALE 5Z SUH  NC M DXJ ,  DATI ANAGRAFICI DIFORTI ROLINO  <START:DOB> 09 01 1908 <END> F CASTELLINO TANARO  RN CODICE FISCALE
CODICE FISCALE S9KB 6FVZYX5OGAH ,  DATI ANAGRAFICI DIFRANCESCHI ROMOLO  <START:DOB> 1710 1920 <END> M CASTELLIRI  RM CODICE FISCALE
CODICE FISCALE Y SJG9QCOZ D8AET ,  DATI ANAGRAFICI DIFRANCESCO ROSELLINO  <START:DOB> 0 5 0 9 2006 <END> M CASTELLO CABIAGLIO  RO CODICE FISCALE
CODICE FISCALE IQY OMJC5NV6DUWF ,  DATI ANAGRAFICI DIFRANCO ROSSINO  <START:DOB> 2 5 1 0 4 4 O 7  <END> M CASTELLO D'AGOGNA  SA CODICE FISCALE
CODICE FISCALE U ME OVC ZRBAJFL ,  DATI ANAGRAFICI DIGAETANO RUBENS  <START:DOB> 64901903 <END> F CASTELLO D'ARGILE  SS CODICE FISCALE
CODICE FISCALE 9RDST5AWUPCMYGL  ,  DATI ANAGRAFICI DIGANGI RODIANO  <START:DOB> O84O 1916 <END> M CASTELLO DEL MATESE  SV CODICE FISCALE
CODICE FISCALE X M SL KVBPR5Y6H ,  DATI ANAGRAFICI DIGANNI ROLLANDO  <START:DOB> 09  7 OO 38 <END> F CASTELLO DELL'ACQUA  SI CODICE FISCALE
CODICE FISCALE OUQEW6HLP 8IFTD1 ,  DATI ANAGRAFICI DIGENOVA ROMUALDO  <START:DOB> 18021919 <END> F CASTELLO DI ANNONE  SR CODICE FISCALE
CODICE FISCALE 56R EK8GZCB1XL9J ,  DATI ANAGRAFICI DIGEROLAMO ROSELLO  <START:DOB> 22 03 1930 <END> F CASTELLO DI BRIANZA  SO CODICE FISCALE
CODICE FISCALE O FETDU1M 8GW6CI ,  DATI ANAGRAFICI DIGIACOMO ROSSO  <START:DOB> 2807 1954 <END> M CASTELLO DI CISTERNA  TA CODICE FISCALE
CODICE FISCALE GEPYWI59JR6BO SZ ,  DATI ANAGRAFICI DIGIANFELICE RUBERTO  <START:DOB> 7 0 3 5 2019 <END> F CASTELLO DI GODEGO  TE CODICE FISCALE
CODICE FISCALE  FJS8HYZIT6  AU9 ,  DATI ANAGRAFICI DIGIOVANNI RODINO  <START:DOB> 5 4 O 2 O 2 3 2  <END> F CASTELLO TESINO  TR CODICE FISCALE
CODICE FISCALE YTZ NV5PR JLW8E  ,  DATI ANAGRAFICI DIGILIO ROMA  <START:DOB> 54071914 <END> F CASTELLO-MOLINA DI FIEMME  TP CODICE FISCALE
CODICE FISCALE S8QY5 X FBPDZI W ,  DATI ANAGRAFICI DIGIOANNI ROMULADO  <START:DOB> 2245 1909 <END> M CASTELLUCCHIO  TN CODICE FISCALE
CODICE FISCALE UGCA9 SMZEJ86F Q ,  DATI ANAGRAFICI DIGIOIA ROSELMINO  <START:DOB> 26O0O  7815 <END> M CASTELLUCCIO DEI SAURI  TV CODICE FISCALE
CODICE FISCALE  AR1ET5BJMKWY 6F ,  DATI ANAGRAFICI DIGIORGI ROSUALDO  <START:DOB> 04021914 <END> M CASTELLUCCIO INFERIORE  TS CODICE FISCALE
CODICE FISCALE YBKV6  O9 R8AXE  ,  DATI ANAGRAFICI DIGIORGIA RUBES  <START:DOB> 10 08 1914 <END> F CASTELLUCCIO SUPERIORE  TO CODICE FISCALE
CODICE FISCALE  EPS8 R6ZH 9WFTO ,  DATI ANAGRAFICI DIGIORGIO RODIO  <START:DOB> 2601 1926 <END> M CASTELLUCCIO VALMAGGIORE  UD CODICE FISCALE
CODICE FISCALE 8VD 1PFU OBR CT6 ,  DATI ANAGRAFICI DIGIOVANBATTISTA ROMALDINO  <START:DOB> 1 3 7 9 2012 <END> M CASTELMAGNO  VA CODICE FISCALE
CODICE FISCALE YD9PCTQ  S RE56F ,  DATI ANAGRAFICI DIGIOVANNA RONALDO  <START:DOB> 8 5 3 7 7 0 1 6  <END> M CASTELMARTE  VE CODICE FISCALE
CODICE FISCALE A6EZW9IJO 1LDCBX ,  DATI ANAGRAFICI DIGIOVANNI ROSEO  <START:DOB> 57061911 <END> F CASTELMASSA  VB CODICE FISCALE
CODICE FISCALE MH5FNVUCB I PRLG ,  DATI ANAGRAFICI DIGIROLAME ROSVALDO  <START:DOB> 2O13 1910 <END> F CASTELMAURO  VC CODICE FISCALE
CODICE FISCALE MU5F1OEL8T IBK 9 ,  DATI ANAGRAFICI DIGIROLAMO RUBINO  <START:DOB> O1 3O5 089 4  <END> M CASTELMEZZANO  VR CODICE FISCALE
CODICE FISCALE P ATL5QGSOBF VN  ,  DATI ANAGRAFICI DIGIROLARIO RODOALDO  <START:DOB> 20091903 <END> M CASTELMOLA  VV CODICE FISCALE
CODICE FISCALE LEVZ1HBN6A PG S  ,  DATI ANAGRAFICI DIGITALE ROMALDO  <START:DOB> 06 05 1940 <END> F CASTELNOVETTO  VI CODICE FISCALE
CODICE FISCALE  YVIU P KQDO8TXG ,  DATI ANAGRAFICI DIGIUSEPPE RONDELLO  <START:DOB> 2711 1952 <END> F CASTELNOVO BARIANO  VT CODICE FISCALE
CODICE FISCALE  W1S8JD6FAVKYZHQ ,  DATI ANAGRAFICI DIGRADO ROSETO  <START:DOB> O 4 6 2 2001 <END> F CASTELNOVO DEL FRIULI  AG CODICE FISCALE
CODICE FISCALE VADGM  QWH6FSY8C ,  DATI ANAGRAFICI DIGRANDE ROSVINDO  <START:DOB> 2 0 4 8 8 2 4 9  <END> M CASTELNOVO DI SOTTO  AL CODICE FISCALE
CODICE FISCALE AGLC5U OBP H E69 ,  DATI ANAGRAFICI DIGRAZII RUBIO  <START:DOB> 21421908 <END> F CASTELNOVO NE' MONTI  AN CODICE FISCALE
CODICE FISCALE 8DLS WH G EYXVFB ,  DATI ANAGRAFICI DIGREGARIO RODOLFO  <START:DOB> 2O82 1908 <END> F CASTELNUOVO  AO CODICE FISCALE
CODICE FISCALE XFEJO TW NLQC5GZ ,  DATI ANAGRAFICI DIGREGORID ROMANDINO  <START:DOB> 3O9  8 O1 74 <END> M CASTELNUOVO BELBO  AR CODICE FISCALE
CODICE FISCALE PY5O1SEM A HQTGN ,  DATI ANAGRAFICI DIGREGORIO RONDINO  <START:DOB> 29071929 <END> M CASTELNUOVO BERARDENGA  AP CODICE FISCALE
CODICE FISCALE LYOHJ1G9DT  KBC5 ,  DATI ANAGRAFICI DIGRIFFO ROSETTO  <START:DOB> 04 07 1927 <END> M CASTELNUOVO BOCCA D'ADDA  AT CODICE FISCALE
CODICE FISCALE OKHD5 QJFXV8 E A ,  DATI ANAGRAFICI DIGRUCLO ROTILDO  <START:DOB> 1801 1927 <END> M CASTELNUOVO BORMIDA  AV CODICE FISCALE
CODICE FISCALE  AEPQV NO9JHUF6D ,  DATI ANAGRAFICI DIGSRDO RUBIS  <START:DOB> 8 6 O 5 2013 <END> M CASTELNUOVO BOZZENTE  BA CODICE FISCALE
CODICE FISCALE  PLYQTN6   RZGBF ,  DATI ANAGRAFICI DIGUORGIO RODOMIRO  <START:DOB> 6 1 0 1 9 6 7 5  <END> F CASTELNUOVO CALCEA  BT CODICE FISCALE
CODICE FISCALE G FVH1LWS8EN RKO ,  DATI ANAGRAFICI DIIPOLITO ROMANDO  <START:DOB> O1251918 <END> M CASTELNUOVO CILENTO  BL CODICE FISCALE
CODICE FISCALE TJ EP S QNY CDA  ,  DATI ANAGRAFICI DILAURENZA RONDOLFO  <START:DOB> 14O3 1915 <END> F CASTELNUOVO DEL GARDA  BN CODICE FISCALE
CODICE FISCALE UNR YAX8DC1KZPOT ,  DATI ANAGRAFICI DILAURO ROSIANO  <START:DOB>  7 340 6O59 <END> M CASTELNUOVO DELLA DAUNIA  BG CODICE FISCALE
CODICE FISCALE DZ1HY6QL5KM8A  C ,  DATI ANAGRAFICI DILEBERTA ROTILIO  <START:DOB> 18051916 <END> F CASTELNUOVO DI CEVA  BI CODICE FISCALE
CODICE FISCALE X9KMJV6AOW 1Z5H  ,  DATI ANAGRAFICI DILEBERTO RUDI  <START:DOB> 10 03 1934 <END> F CASTELNUOVO DI CONZA  BO CODICE FISCALE
CODICE FISCALE CXGAMYQHDNLJR S  ,  DATI ANAGRAFICI DILELLO RODOMONDO  <START:DOB> 0103 1945 <END> F CASTELNUOVO DI FARFA  BZ CODICE FISCALE
CODICE FISCALE 1SDO 8JIBK5YNXEW ,  DATI ANAGRAFICI DILENZA ROMANELLO  <START:DOB> 6 O O 0 2018 <END> F CASTELNUOVO DI GARFAGNANA  BS CODICE FISCALE
CODICE FISCALE P8U 5O Q RMDN6 1 ,  DATI ANAGRAFICI DILEO RONE  <START:DOB> 8 1 8 1 0 2 O O  <END> F CASTELNUOVO DI PORTO  BR CODICE FISCALE
CODICE FISCALE HJC BE LWKFO MUS ,  DATI ANAGRAFICI DILIBERO ROSILDO  <START:DOB> OO581916 <END> M CASTELNUOVO DI VAL DI CECINA  CA CODICE FISCALE
CODICE FISCALE M6 W  NRO1QSC8YD ,  DATI ANAGRAFICI DILIBERTO ROTONDO  <START:DOB> 2669 1916 <END> F CASTELNUOVO DON BOSCO  CL CODICE FISCALE
CODICE FISCALE WZV8 MPIX JFQ5U  ,  DATI ANAGRAFICI DILIGENTI RUDIANO  <START:DOB> 47 6O123O  8 <END> F CASTELNUOVO MAGRA  CB CODICE FISCALE
CODICE FISCALE  M XT6WLJSNQRDA9 ,  DATI ANAGRAFICI DILILLO RODOMONTE  <START:DOB> 21091903 <END> M CASTELNUOVO NIGRA  CI CODICE FISCALE
CODICE FISCALE ZS V HJTPY15 MQW ,  DATI ANAGRAFICI DILINGO ROMANINO  <START:DOB> 30 06 1923 <END> F CASTELNUOVO PARANO  CE CODICE FISCALE
CODICE FISCALE AO QKVC P JYW95B ,  DATI ANAGRAFICI DILLUVIO D’LNDIA RONERTO  <START:DOB> 2210 1954 <END> M CASTELNUOVO RANGONE  CT CODICE FISCALE
CODICE FISCALE  AKIE RFH VS X89 ,  DATI ANAGRAFICI DILONARDO ROSILIO  <START:DOB> 6 7 0 6 2011 <END> M CASTELNUOVO SCRIVIA  CZ CODICE FISCALE
CODICE FISCALE H6 1Z FMTE5GO  A ,  DATI ANAGRAFICI DILORENZO ROTTILIO  <START:DOB> 2 0 5 O 2 8 O 6  <END> F CASTELPAGANO  CH CODICE FISCALE
CODICE FISCALE D 5PBISC8N EG  U ,  DATI ANAGRAFICI DILUDOVICO RUDIO  <START:DOB> 74581908 <END> M CASTELPETROSO  CO CODICE FISCALE
CODICE FISCALE HXGRDTAF6P1E QJ8 ,  DATI ANAGRAFICI DILUIAGI RODOSINDO  <START:DOB> 0O65 1914 <END> M CASTELPIZZUTO  CS CODICE FISCALE
CODICE FISCALE  5H IT1Q P N6VFU ,  DATI ANAGRAFICI DILUIGI ROMANO  <START:DOB>    8674 12O  <END> M CASTELPLANIO  CR CODICE FISCALE
CODICE FISCALE  LM  JVOINCE6X B ,  DATI ANAGRAFICI DILUNA RONZINO  <START:DOB> 01061953 <END> F CASTELPOTO  KR CODICE FISCALE
CODICE FISCALE CRE BHI1SLQ  8OG ,  DATI ANAGRAFICI DIMAGGIO ROSIMBO  <START:DOB> 25 07 1966 <END> M CASTELRAIMONDO  CN CODICE FISCALE
CODICE FISCALE QP9VDN  KTHE5OU  ,  DATI ANAGRAFICI DIMAIO ROVALDO  <START:DOB> 0610 1961 <END> F CASTELROTTO  EN CODICE FISCALE
CODICE FISCALE WOGQI8V 9EAHYFPC ,  DATI ANAGRAFICI DIMANO RUDY  <START:DOB> 9 7 6 3 2018 <END> M CASTELSANTANGELO SUL NERA  FM CODICE FISCALE
CODICE FISCALE 8LA6K DJSZOM THX ,  DATI ANAGRAFICI DIMANTRI RODRIGO  <START:DOB> 9 8 0 5 0 3 0 4  <END> F CASTELSARACENO  FE CODICE FISCALE
CODICE FISCALE RNEH A6 CWIJM QZ ,  DATI ANAGRAFICI DIMARCO ROMANTINO  <START:DOB> 7OO61919 <END> F CASTELSARDO  FI CODICE FISCALE
CODICE FISCALE GFRSW  QJ95 XY K ,  DATI ANAGRAFICI DIMARIA ROPEO  <START:DOB> O177 1904 <END> F CASTELSEPRIO  FG CODICE FISCALE
CODICE FISCALE 8 UM1X IEVOWTS L ,  DATI ANAGRAFICI DIMARINIS ROSINDO  <START:DOB>  O125 864  3  <END> M CASTELSILANO  FC CODICE FISCALE
CODICE FISCALE LC8AZQ9 P5ISEV F ,  DATI ANAGRAFICI DIMARIO ROVANO  <START:DOB> 07011940 <END> M CASTELSPINA  FR CODICE FISCALE
CODICE FISCALE H 5 GRDFVX6 CUSL ,  DATI ANAGRAFICI DIMARRO RUELLO  <START:DOB> 03 03 1991 <END> M CASTELTERMINI  GE CODICE FISCALE
CODICE FISCALE ZTXLJ9PBCUH5RMD  ,  DATI ANAGRAFICI DIMARTINO ROE  <START:DOB> 2209 1988 <END> F CASTELVECCANA  GO CODICE FISCALE
CODICE FISCALE ZATVJXR O5L 86WN ,  DATI ANAGRAFICI DIMATTEO ROMEDIO  <START:DOB> 7 3 3 1 2000 <END> F CASTELVECCHIO CALVISIO  GR CODICE FISCALE
CODICE FISCALE   PN8AOI5X 9BF Q ,  DATI ANAGRAFICI DIMAUO ROSALBINO  <START:DOB> 5 6 7 4 5 1 1 0  <END> M CASTELVECCHIO DI ROCCA BARBENA  IM CODICE FISCALE
CODICE FISCALE AJQU 8 SYGN KV5Z ,  DATI ANAGRAFICI DIMAURO ROSINO  <START:DOB> 29601903 <END> F CASTELVECCHIO SUBEQUO  IS CODICE FISCALE
CODICE FISCALE D 1NYOS UZFKCMLI ,  DATI ANAGRAFICI DIMAYO ROVELIO  <START:DOB> 02O7 1906 <END> M CASTELVENERE  SP CODICE FISCALE
CODICE FISCALE  WDPZNU IEV JQC  ,  DATI ANAGRAFICI DIMEICCO RUFFILLO  <START:DOB> 35O9O6 024  <END> M CASTELVERDE  AQ CODICE FISCALE
CODICE FISCALE U HZO 1NV LW R6Y ,  DATI ANAGRAFICI DIMICELI ROERO  <START:DOB> 07061981 <END> M CASTELVERRINO  LT CODICE FISCALE
CODICE FISCALE 9WKX1S DBGV RI86 ,  DATI ANAGRAFICI DIMICHELE ROMELIO  <START:DOB> 24 04 1956 <END> F CASTELVETERE IN VAL FORTORE  LE CODICE FISCALE
CODICE FISCALE SILTMJ9FWXZCDY U ,  DATI ANAGRAFICI DIMIECLE ROSALBO  <START:DOB> 0408 1986 <END> M CASTELVETERE SUL CALORE  LC CODICE FISCALE
CODICE FISCALE 8JP6DFMT9X1KSCIY ,  DATI ANAGRAFICI DIMILIA ROSIO  <START:DOB> 4 O 0 7 2006 <END> M CASTELVETRANO  LI CODICE FISCALE
CODICE FISCALE MLD6B5PQIC1VRKAJ ,  DATI ANAGRAFICI DIMINO ROVELLO  <START:DOB> 9 2 2 O 1 3 O 8  <END> F CASTELVETRO DI MODENA  LO CODICE FISCALE
CODICE FISCALE LF 6 EK 5NT H8 U ,  DATI ANAGRAFICI DIMIRICO RUFFINO  <START:DOB> 71821913 <END> M CASTELVETRO PIACENTINO  LU CODICE FISCALE
CODICE FISCALE IV ZF1 8XPS Y N  ,  DATI ANAGRAFICI DIMODENA ROFILLO  <START:DOB> 7575 1904 <END> F CASTELVISCONTI  MC CODICE FISCALE
CODICE FISCALE EQN9SB X MYH18DP ,  DATI ANAGRAFICI DIMODICA ROMENIO  <START:DOB> 9754126 O80 <END> M CASTENASO  MN CODICE FISCALE
CODICE FISCALE 6 AVFWI GDUS LN  ,  DATI ANAGRAFICI DIMONTE ROSALINDO  <START:DOB> 29071976 <END> M CASTENEDOLO  MS CODICE FISCALE
CODICE FISCALE  SMPA KFLY8 DQ5U ,  DATI ANAGRAFICI DIMORATA ROSITO  <START:DOB> 03 10 1912 <END> F CASTIADAS  MT CODICE FISCALE
CODICE FISCALE GCYP1UFKMVIZL 8  ,  DATI ANAGRAFICI DIMUCCIO ROVENO  <START:DOB> 1308 1932 <END> M CASTIGLION FIBOCCHI  VS CODICE FISCALE
CODICE FISCALE O9G F YH1U ERNVJ ,  DATI ANAGRAFICI DIMURO RUFFO  <START:DOB> O 6 2 6 2014 <END> F CASTIGLION FIORENTINO  ME CODICE FISCALE
CODICE FISCALE  E9 BV6OHWUL GSI ,  DATI ANAGRAFICI DIMUZIO ROFILO  <START:DOB> 7 3 6 1 8 1 9 O  <END> M CASTIGLIONE A CASAURIA  MI CODICE FISCALE
CODICE FISCALE KF8MEU IOY1A B Q ,  DATI ANAGRAFICI DINAPOLE ROMENO  <START:DOB> 91661900 <END> F CASTIGLIONE CHIAVARESE  MO CODICE FISCALE
CODICE FISCALE JGR8UFZ 1BDC6EK  ,  DATI ANAGRAFICI DINAPOLI ROSALINO  <START:DOB> 33O0 1904 <END> F CASTIGLIONE COSENTINO  MB CODICE FISCALE
CODICE FISCALE U   5NE FPRYSCKV ,  DATI ANAGRAFICI DINARDO ROSMALDO  <START:DOB> 1 8042  9 37 <END> M CASTIGLIONE D'ADDA  NA CODICE FISCALE
CODICE FISCALE  1 O96VRHFAT E D ,  DATI ANAGRAFICI DINATALE ROVERETO  <START:DOB> 10051963 <END> M CASTIGLIONE D'ORCIA  NO CODICE FISCALE
CODICE FISCALE  L1 P JRSNTHVXME ,  DATI ANAGRAFICI DINDO RUFILLO  <START:DOB> 16 03 1963 <END> M CASTIGLIONE DEI PEPOLI  NU CODICE FISCALE
