CODICE FISCALE   S5LGIOW N HPB1K ,  DATI ANAGRAFICI ABATE ABACO  POK 19 06 1969 M ABANO TERME  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  K65ANCU QZJ LFMY ,  DATI ANAGRAFICI BASCUINO CAIROLI  POK 01 10 1995 M BOSCHI SANT'ANNA  <START:Prov> PG <END> CODICE FISCALE 
CODICE FISCALE  CJWBMDK19FSA5 NH ,  DATI ANAGRAFICI BASETTI CALLISTO  POK 2309 1976 M BOSCO CHIESANUOVA  <START:Prov> PU <END> CODICE FISCALE 
CODICE FISCALE  Q  HUBXD86YC ZJG ,  DATI ANAGRAFICI BASICHE CAMILLO  POK 8 9 O 5 2002 F BOSCO MARENGO  <START:Prov> PE <END> CODICE FISCALE 
CODICE FISCALE  FXBJ I9SWPVDL5AK ,  DATI ANAGRAFICI BASIGALIEPO CANUTO  POK 2 6 O 9 5 O 8 5  F BOSCONERO  <START:Prov> PC <END> CODICE FISCALE 
CODICE FISCALE  O6R1 CZMUHANGPJS ,  DATI ANAGRAFICI BASILE CARDUCCIO  POK 70441904 F BOSCOREALE  <START:Prov> PI <END> CODICE FISCALE 
CODICE FISCALE  9  TVJ5EGKQXL1P6 ,  DATI ANAGRAFICI BASILICATA CADORNO  POK 6860 1907 M BOSCOTRECASE  <START:Prov> PT <END> CODICE FISCALE 
CODICE FISCALE  1OPHRG9 TZYKBJCU ,  DATI ANAGRAFICI BASILICO CALCEDONIO  POK 5 10O   463O7 F BOSIA  <START:Prov> PN <END> CODICE FISCALE 
CODICE FISCALE  FYVST9CR16 IWHMA ,  DATI ANAGRAFICI BASILIO CALOGERO  POK 28081990 M BOSIO  <START:Prov> PZ <END> CODICE FISCALE 
CODICE FISCALE  TLGIPBJKWXZ9NO D ,  DATI ANAGRAFICI BASILISCO CAMMILLO  POK 07 08 1903 F BOSISIO PARINI  <START:Prov> PO <END> CODICE FISCALE 
CODICE FISCALE  61 AYZQO ERUJDS  ,  DATI ANAGRAFICI BASSET CANZIANO  POK 2703 1961 M BOSNASCO  <START:Prov> RG <END> CODICE FISCALE 
CODICE FISCALE   EPHR1K  VM NFJ8 ,  DATI ANAGRAFICI BASSI CARINO  POK 0 8 5 1 2005 F BOSSICO  <START:Prov> RA <END> CODICE FISCALE 
CODICE FISCALE  ZG9I VAT KRUQ8JY ,  DATI ANAGRAFICI BASSO CARISCOPO  POK 7 8 3 9 2 O 7 7  M BOSSOLASCO  <START:Prov> RC <END> CODICE FISCALE 
CODICE FISCALE  DN5YL JX1KHGAZEV ,  DATI ANAGRAFICI BASSOLI CASSIANO  POK 85311905 M BOTRICELLO  <START:Prov> RE <END> CODICE FISCALE 
CODICE FISCALE  1PKTZ BA OYC8L9  ,  DATI ANAGRAFICI BASTANTO CAVOUR  POK 0O83 1915 M BOTRUGNO  <START:Prov> RI <END> CODICE FISCALE 
CODICE FISCALE  9  8SB MKZ6HGP Y ,  DATI ANAGRAFICI BASTARDO CESELLO  POK 156947 O 80   F BOTTANUCO  <START:Prov> RN <END> CODICE FISCALE 
CODICE FISCALE  9 PE5BLC6 T H8GX ,  DATI ANAGRAFICI BASTARILO CINCINNATO  POK 11031911 M BOTTICINO  <START:Prov> RM <END> CODICE FISCALE 
CODICE FISCALE  5 NCQ9E8UKDZIBGS ,  DATI ANAGRAFICI BASTARO CLEME  POK 28 11 1978 M BOTTIDDA  <START:Prov> RO <END> CODICE FISCALE 
CODICE FISCALE  BU8I9SRJZN GMEP5 ,  DATI ANAGRAFICI BASTONE CARISIO  POK 2503 1945 F BOVA  <START:Prov> SA <END> CODICE FISCALE 
CODICE FISCALE  5UVOJ QATY CI LB ,  DATI ANAGRAFICI BATACCHI CASSIO  POK 7 8 8 6 2001 F BOVA MARINA  <START:Prov> SS <END> CODICE FISCALE 
CODICE FISCALE  OSNYJBC9ZUK QDVF ,  DATI ANAGRAFICI BATESTA CECCARDO  POK 3 8 7 3 3 6 4 7  F BOVALINO  <START:Prov> SV <END> CODICE FISCALE 
CODICE FISCALE  PDNASVI9BR OXJUK ,  DATI ANAGRAFICI BATTACAROLE CESIDIO  POK 1O691908 M BOVEGNO  <START:Prov> SI <END> CODICE FISCALE 
CODICE FISCALE  BGHR YZ5NEPIC1KM ,  DATI ANAGRAFICI BATTAFLIA CINO  POK 4780 1909 F BOVES  <START:Prov> SR <END> CODICE FISCALE 
CODICE FISCALE   U  JD GCPNY XBV ,  DATI ANAGRAFICI BATTAGLIA CLEMEN  POK 264 983  57 F BOVEZZO  <START:Prov> SO <END> CODICE FISCALE 
CODICE FISCALE  O9PNUQ 8CW LA IK ,  DATI ANAGRAFICI BATTAGLIERI CARISSIMO  POK 24061994 M BOVILLE ERNICA  <START:Prov> TA <END> CODICE FISCALE 
CODICE FISCALE   DZ18TUC 9EVOYJ  ,  DATI ANAGRAFICI BATTELLI CASTENZE  POK 25 09 1973 F BOVINO  <START:Prov> TE <END> CODICE FISCALE 
CODICE FISCALE  MWIOP B VSNE 9DF ,  DATI ANAGRAFICI BATTEZZATI CECCHINO  POK 0307 1927 F BOVISIO-MASCIAGO  <START:Prov> TR <END> CODICE FISCALE 
CODICE FISCALE  U 6FC  BTXMLNSK5 ,  DATI ANAGRAFICI BATTIATI CESINO  POK 2 3 1 6 2010 F BOVOLENTA  <START:Prov> TP <END> CODICE FISCALE 
CODICE FISCALE  NV1LGF95RYHAQ  S ,  DATI ANAGRAFICI BATTIFERRI CINZIO  POK 5 9 1 7 9 9 3 9  F BOVOLONE  <START:Prov> TN <END> CODICE FISCALE 
CODICE FISCALE   LOXEDWT5VCRUPG6 ,  DATI ANAGRAFICI BATTIFOLLE CLEMENS  POK 56041908 F BOZZOLE  <START:Prov> TV <END> CODICE FISCALE 
CODICE FISCALE   L HNYSBGMQCVZ F ,  DATI ANAGRAFICI BATTIFUOCO CARLALBERTO  POK 7O21 1902 F BOZZOLO  <START:Prov> TS <END> CODICE FISCALE 
CODICE FISCALE  ZM   1IABQC6P D  ,  DATI ANAGRAFICI BATTILANA CASTENZIO  POK   562 09 3 18 F BRA  <START:Prov> TO <END> CODICE FISCALE 
CODICE FISCALE  1D E LZJROQTS9B6 ,  DATI ANAGRAFICI BATTILORO CECCO  POK 05031950 F BRACCA  <START:Prov> UD <END> CODICE FISCALE 
CODICE FISCALE  XYQGA   H8 ZSBIV ,  DATI ANAGRAFICI BATTIPEDE CESIO  POK 16 03 1980 F BRACCIANO  <START:Prov> VA <END> CODICE FISCALE 
CODICE FISCALE  N YXP OALVZGFDMC ,  DATI ANAGRAFICI BATTISTA CINZO  POK 2709 1947 F BRACIGLIANO  <START:Prov> VE <END> CODICE FISCALE 
CODICE FISCALE  RD KTXV1L6UPWHCI ,  DATI ANAGRAFICI BATTISTI CLEMENTE  POK 0 5 8 1 2001 M BRAIES  <START:Prov> VB <END> CODICE FISCALE 
CODICE FISCALE  RIJTSAB8XYO WNM  ,  DATI ANAGRAFICI BATTISTRADA CARLETTO  POK 4 2 7 1 8 O 3 1  M BRALLO DI PREGOLA  <START:Prov> VC <END> CODICE FISCALE 
CODICE FISCALE  DLXF6BKG 1   VST ,  DATI ANAGRAFICI BATTISTUTA CASTO  POK 7O921912 M BRANCALEONE  <START:Prov> VR <END> CODICE FISCALE 
CODICE FISCALE  AVRCHQ1K9 NUGO Z ,  DATI ANAGRAFICI BATTO CECILIO  POK 1025 1900 F BRANDICO  <START:Prov> VV <END> CODICE FISCALE 
CODICE FISCALE  R8DY6KAX C Q GI  ,  DATI ANAGRAFICI BAUDI CESIRIO  POK 39520 O 8 741 M BRANDIZZO  <START:Prov> VI <END> CODICE FISCALE 
CODICE FISCALE  BED YSUI  RJ P T ,  DATI ANAGRAFICI BAUGALUPO CIPRIANO  POK 27021968 F BRANZI  <START:Prov> VT <END> CODICE FISCALE 
CODICE FISCALE  MK9JZ1UXRLGE  NV ,  DATI ANAGRAFICI BAUZZINO CLEMENTINO  POK 27 10 1981 F BRAONE  <START:Prov> AG <END> CODICE FISCALE 
CODICE FISCALE  Z6LABUWER QC1H59 ,  DATI ANAGRAFICI BAVARIA CARLINO  POK 3002 1962 M BREBBIA  <START:Prov> AL <END> CODICE FISCALE 
CODICE FISCALE  Y Q5M R WU86FTZH ,  DATI ANAGRAFICI BAVIERA CASTOLO  POK 4 6 6 3 2010 F BREDA DI PIAVE  <START:Prov> AN <END> CODICE FISCALE 
CODICE FISCALE   ZJ1 UR  STCAWQ  ,  DATI ANAGRAFICI BAVOSA CELERINO  POK 8 2 O 7 0 3 1 5  M BREGANO  <START:Prov> AO <END> CODICE FISCALE 
CODICE FISCALE   MP5 FA K9E 8DNS ,  DATI ANAGRAFICI BAVOSO CESIRO  POK 71201902 F BREGANZE  <START:Prov> AR <END> CODICE FISCALE 
CODICE FISCALE  OTN  HYW   8L6DV ,  DATI ANAGRAFICI BAVUSI CIRANO  POK 1366 1900 F BREGNANO  <START:Prov> AP <END> CODICE FISCALE 
CODICE FISCALE  QE BKCWZD U6PIT  ,  DATI ANAGRAFICI BAVUSO CLEMENZIO  POK 60 1O 9248O F BREMBATE  <START:Prov> AT <END> CODICE FISCALE 
CODICE FISCALE  VU KRS8659CEMD B ,  DATI ANAGRAFICI BAZANI CARLO  POK 09041993 F BREMBATE DI SOPRA  <START:Prov> AV <END> CODICE FISCALE 
CODICE FISCALE  9H6J 5Y S1VZTGL8 ,  DATI ANAGRAFICI BAZILE CASTORE  POK 20 02 1990 F BREMBIO  <START:Prov> BA <END> CODICE FISCALE 
CODICE FISCALE  GHREO8Z6DNLT VY1 ,  DATI ANAGRAFICI BAZZA CELESTE  POK 1209 1903 F BREME  <START:Prov> BT <END> CODICE FISCALE 
CODICE FISCALE  A XWF  EVY9PGT51 ,  DATI ANAGRAFICI BAZZANELLI CETTEO  POK 8 2 6 8 2011 F BRENDOLA  <START:Prov> BL <END> CODICE FISCALE 
CODICE FISCALE  P SX MLIFWU9N58  ,  DATI ANAGRAFICI BAZZANI CIRENEO  POK 8 8 1 O 6 8 9 6  F BRENNA  <START:Prov> BN <END> CODICE FISCALE 
CODICE FISCALE  MX8ETVQB9Y CK6SG ,  DATI ANAGRAFICI BAZZI CLEOFINO  POK 502O1909 M BRENNER  <START:Prov> BG <END> CODICE FISCALE 
CODICE FISCALE  XOZWQEFA BPU IMR ,  DATI ANAGRAFICI BAZZO CARLUCCIO  POK 7678 1901 F BRENO  <START:Prov> BI <END> CODICE FISCALE 
CODICE FISCALE  EO 1C G IM8VFPZA ,  DATI ANAGRAFICI BEATI CASTORINO  POK  8 0O72 94  F BRENTA  <START:Prov> BO <END> CODICE FISCALE 
CODICE FISCALE  KUNR856A1HDB  TL ,  DATI ANAGRAFICI BEAUSONE CELESTINO  POK 13101982 M BRENTINO BELLUNO  <START:Prov> BZ <END> CODICE FISCALE 
CODICE FISCALE  J 6GPWUTFM51ONS8 ,  DATI ANAGRAFICI BECAFIGO CHECCHINO  POK 09 09 1949 M BRENTONICO  <START:Prov> BS <END> CODICE FISCALE 
CODICE FISCALE  9 XNM WT CIUBS L ,  DATI ANAGRAFICI BECCADELLI CIRENO  POK 0411 1902 F BRENZONE SUL GARDA  <START:Prov> BR <END> CODICE FISCALE 
CODICE FISCALE  AVDC L ZJ  EN RW ,  DATI ANAGRAFICI BECCAFAVA CLEONICE  POK O 2 6 2 2015 M BRESCELLO  <START:Prov> CA <END> CODICE FISCALE 
CODICE FISCALE  VOKZSR51FW JT9PB ,  DATI ANAGRAFICI BECCAFIGO CARMELINDO  POK O 8 O 4 8 4 4 3  M BRESCIA  <START:Prov> CL <END> CODICE FISCALE 
CODICE FISCALE  XJVNWMYLCSR UFGE ,  DATI ANAGRAFICI BECCAIO CASTRENSE  POK 71141917 F BRESIMO  <START:Prov> CB <END> CODICE FISCALE 
CODICE FISCALE  GOL   XMKYCEB JW ,  DATI ANAGRAFICI BECCALOSSO CELESTO  POK 384O 1902 F BRESSANA BOTTARONE  <START:Prov> CI <END> CODICE FISCALE 
CODICE FISCALE   DK  SYGQF W8L M ,  DATI ANAGRAFICI BECCALUVA CHECCO  POK 6  972 4O 1 F BRESSANONE  <START:Prov> CE <END> CODICE FISCALE 
CODICE FISCALE  1ULFWH8Q R CMJ S ,  DATI ANAGRAFICI BECCAMORTO CIRIACO  POK 04031939 M BRESSANVIDO  <START:Prov> CT <END> CODICE FISCALE 
CODICE FISCALE  G   WXCYN FLV6S5 ,  DATI ANAGRAFICI BECCARIA CLEONTE  POK 02 07 1937 F BRESSO  <START:Prov> CZ <END> CODICE FISCALE 
CODICE FISCALE  XS DTEZF HWL 6YK ,  DATI ANAGRAFICI BECCARO CARMELINO  POK 1906 1963 F BREZ  <START:Prov> CH <END> CODICE FISCALE 
CODICE FISCALE  5 YPCU96JS HLDBA ,  DATI ANAGRAFICI BECCERONI CASTRENZE  POK 0 8 3 7 2019 F BREZZO DI BEDERO  <START:Prov> CO <END> CODICE FISCALE 
CODICE FISCALE  9M8JD6 S G1LTXR  ,  DATI ANAGRAFICI BECCHERI CELIDONIO  POK 2 2 4 6 8 O 3 1  M BRIAGLIA  <START:Prov> CS <END> CODICE FISCALE 
CODICE FISCALE  AW9H5IY1 FV6NLXU ,  DATI ANAGRAFICI BECCHERINI CHERUBINO  POK O3O81903 F BRIATICO  <START:Prov> CR <END> CODICE FISCALE 
CODICE FISCALE  TAJ QXBWGRHN8ID  ,  DATI ANAGRAFICI BECCHETTI CIRILLO  POK 6286 1915 M BRICHERASIO  <START:Prov> KR <END> CODICE FISCALE 
CODICE FISCALE   ICZUORKQSTY GBA ,  DATI ANAGRAFICI BECCHI CLEONTINO  POK  O8  O 10426  M BRIENNO  <START:Prov> CN <END> CODICE FISCALE 
CODICE FISCALE  U NTSICBYL8JRZ P ,  DATI ANAGRAFICI BECCI CARMELIO  POK 20071923 M BRIENZA  <START:Prov> EN <END> CODICE FISCALE 
CODICE FISCALE  ET18W M K VLG ZQ ,  DATI ANAGRAFICI BECCIO CASTRENZIO  POK 12 03 1966 M BRIGA ALTA  <START:Prov> FM <END> CODICE FISCALE 
CODICE FISCALE  DOFMCVZIG  H1U 5 ,  DATI ANAGRAFICI BECCO CELINO  POK 2309 1927 M BRIGA NOVARESE  <START:Prov> FE <END> CODICE FISCALE 
CODICE FISCALE  GHJU 6D Y51FERCB ,  DATI ANAGRAFICI BECHELLI CHIAFFREDO  POK 3 8 3 2 2019 M BRIGNANO GERA D'ADDA  <START:Prov> FI <END> CODICE FISCALE 
CODICE FISCALE   PI16XRQNWZVAD5H ,  DATI ANAGRAFICI BECHI CIRINO  POK 0 9 2 O 3 2 3 0  M BRIGNANO-FRASCATA  <START:Prov> FG <END> CODICE FISCALE 
CODICE FISCALE  PFCLKA XU9 O D5W ,  DATI ANAGRAFICI BEDOLLA CLERIO  POK 36961900 F BRINDISI  <START:Prov> FC <END> CODICE FISCALE 
CODICE FISCALE   DAB1 S9K CFE RQ ,  DATI ANAGRAFICI BEFANI CARMELITO  POK 1824 1914 F BRINDISI MONTAGNA  <START:Prov> FR <END> CODICE FISCALE 
CODICE FISCALE  8KPSTQ1 WIZ5  GV ,  DATI ANAGRAFICI BEGHÈ CASTRENZO  POK O14   93 8O2 F BRINZIO  <START:Prov> GE <END> CODICE FISCALE 
CODICE FISCALE  VCX6KWAJ9R S BFT ,  DATI ANAGRAFICI BEGHINI CELIO  POK 10021932 F BRIONA  <START:Prov> GO <END> CODICE FISCALE 
CODICE FISCALE  I6Q8 DXYAJ1LOHPF ,  DATI ANAGRAFICI BEHANELLA CHIARELLO  POK 03 10 1948 M BRIONE  <START:Prov> GR <END> CODICE FISCALE 
CODICE FISCALE  8 FTMN9LCV6WIH P ,  DATI ANAGRAFICI BELANTE CIRIO  POK 0111 1984 M BRIOSCO  <START:Prov> IM <END> CODICE FISCALE 
CODICE FISCALE    9RALBCX VJT HG ,  DATI ANAGRAFICI BELCASTRO CLERO  POK 4 3 7 9 2012 M BRISIGHELLA  <START:Prov> IS <END> CODICE FISCALE 
CODICE FISCALE  D ETXS5NJCOFWGYV ,  DATI ANAGRAFICI BELCAVELLO CARMELO  POK 1 9 O 8 5 1 5 4  F BRISSAGO-VALTRAVAGLIA  <START:Prov> SP <END> CODICE FISCALE 
CODICE FISCALE   LTCMZVI8XPD EF6 ,  DATI ANAGRAFICI BELELLO CASTRESE  POK 86731912 M BRISSOGNE  <START:Prov> AQ <END> CODICE FISCALE 
CODICE FISCALE  SDR5CF LA9QZI 1E ,  DATI ANAGRAFICI BELFANTE CELLINO  POK 0461 1900 M BRITTOLI  <START:Prov> LT <END> CODICE FISCALE 
CODICE FISCALE  QDYULXTF W1BC PZ ,  DATI ANAGRAFICI BELFI CHIARINO  POK  O46503928  F BRIVIO  <START:Prov> LE <END> CODICE FISCALE 
CODICE FISCALE  5 MO9XNEWCTJZYA6 ,  DATI ANAGRAFICI BELFIGLIO CIRO  POK 22051910 F BROCCOSTELLA  <START:Prov> LC <END> CODICE FISCALE 
CODICE FISCALE  COGLH1YZ EJUARIQ ,  DATI ANAGRAFICI BELFIORE CLETO  POK 30 02 1995 M BROGLIANO  <START:Prov> LI <END> CODICE FISCALE 
CODICE FISCALE  I5EU TBWZFLADP   ,  DATI ANAGRAFICI BELFORTE CARMENIO  POK 1508 1992 F BROGNATURO  <START:Prov> LO <END> CODICE FISCALE 
CODICE FISCALE  GQU5 FC EIHZALVB ,  DATI ANAGRAFICI BELGIO CASTRUCCIO  POK 9 0 4 6 2004 F BROLO  <START:Prov> LU <END> CODICE FISCALE 
CODICE FISCALE   SZ81A BM WE 9K  ,  DATI ANAGRAFICI BELGIOVINE CELSINO  POK 7 2 9 6 5 O 5 O  M BRONDELLO  <START:Prov> MC <END> CODICE FISCALE 
CODICE FISCALE  JUAY8DR WV G TPK ,  DATI ANAGRAFICI BELGRADO CHIARO  POK 93O41902 F BRONI  <START:Prov> MN <END> CODICE FISCALE 
CODICE FISCALE  XQV1EMIL  U  6R  ,  DATI ANAGRAFICI BELICI CISO  POK 9334 1901 M BRONTE  <START:Prov> MS <END> CODICE FISCALE 
CODICE FISCALE  8IO  N DEJG H5TF ,  DATI ANAGRAFICI BELINI CLICERIO  POK O9 O805  14 F BRONZOLO  <START:Prov> MT <END> CODICE FISCALE 
CODICE FISCALE  XYT  EO5SNMVZQ9K ,  DATI ANAGRAFICI BELLABOCCA CARMINE  POK 11111946 F BROSSASCO  <START:Prov> VS <END> CODICE FISCALE 
CODICE FISCALE  PNKQURI6LCHXZMWA ,  DATI ANAGRAFICI BELLACCHINO CATALDINO  POK 11 10 1908 M BROSSO  <START:Prov> ME <END> CODICE FISCALE 
CODICE FISCALE  CHRWXS8GIQFM  PJ ,  DATI ANAGRAFICI BELLACHIOMA CELSIO  POK 2806 1932 F BROVELLO-CARPUGNINO  <START:Prov> MI <END> CODICE FISCALE 
CODICE FISCALE   H   JGYIZMCOTE6 ,  DATI ANAGRAFICI BELLACREA CHICCO  POK O 6 7 O 2003 F BROZOLO  <START:Prov> MO <END> CODICE FISCALE 
CODICE FISCALE  FYA W  XI6 9NSHO ,  DATI ANAGRAFICI BELLADONNA CITO  POK 8 9 2 O 8 8 7 4  M BRUGHERIO  <START:Prov> MB <END> CODICE FISCALE 
CODICE FISCALE   MA ZX19DPQ RH V ,  DATI ANAGRAFICI BELLAFIORI CLINO  POK O8371908 M BRUGINE  <START:Prov> NA <END> CODICE FISCALE 
CODICE FISCALE  9JHAU PEI1TKG FR ,  DATI ANAGRAFICI BELLAGAMBI CARMINIO  POK 3O08 1913 M BRUGNATO  <START:Prov> NO <END> CODICE FISCALE 
CODICE FISCALE   QD5V  HWJAZR8 F ,  DATI ANAGRAFICI BELLAGRANDE CATALDO  POK 786 05  O43 F BRUGNERA  <START:Prov> NU <END> CODICE FISCALE 
CODICE FISCALE  EPHISGDBO RZMFW9 ,  DATI ANAGRAFICI BELLAMO CELSO  POK 07081977 M BRUINO  <START:Prov> OG <END> CODICE FISCALE 
CODICE FISCALE  1NWHOZPLC UX9IAE ,  DATI ANAGRAFICI BELLAMORE CHINO  POK 20 03 1982 F BRUMANO  <START:Prov> OT <END> CODICE FISCALE 
CODICE FISCALE  J  B5QVHUN9OMLWX ,  DATI ANAGRAFICI BELLANCA CLARENZIO  POK 2006 1983 M BRUNATE  <START:Prov> OR <END> CODICE FISCALE 
CODICE FISCALE  GQY X NI6 RW FO8 ,  DATI ANAGRAFICI BELLANIMA CLITO  POK 7 O 3 7 2012 M BRUNELLO  <START:Prov> PD <END> CODICE FISCALE 
CODICE FISCALE  6FPXCH9E8LG TSZO ,  DATI ANAGRAFICI BELLANTONIO CARMINO  POK O 0 5 6 9 3 8 O  M BRUNICO  <START:Prov> PA <END> CODICE FISCALE 
CODICE FISCALE  QVZXSO U8R G5LIE ,  DATI ANAGRAFICI BELLARDELLO CATELLO  POK 718O1916 M BRUNO  <START:Prov> PR <END> CODICE FISCALE 
CODICE FISCALE  8Q5M 9P1W6 ZASXJ ,  DATI ANAGRAFICI BELLARDI CENERINO  POK 2221 1905 M BRUSAPORTO  <START:Prov> PV <END> CODICE FISCALE 
CODICE FISCALE   8 H1REX6 WGP B  ,  DATI ANAGRAFICI BELLARIO CHIRICO  POK 90 8O45 O76   M BRUSASCO  <START:Prov> PG <END> CODICE FISCALE 
CODICE FISCALE  UCOETR  5AQ XGWF ,  DATI ANAGRAFICI BELLAROSA CLARIO  POK 24111914 F BRUSCIANO  <START:Prov> PU <END> CODICE FISCALE 
CODICE FISCALE  ZDSUK LPC AIH VF ,  DATI ANAGRAFICI BELLATRECCIA CLIZIO  POK 28 09 1968 M BRUSIMPIANO  <START:Prov> PE <END> CODICE FISCALE 
CODICE FISCALE    WH ZOU BX5V8AR ,  DATI ANAGRAFICI BELLE CARMINUCCIO  POK 1708 1915 F BRUSNENGO  <START:Prov> PC <END> CODICE FISCALE 
CODICE FISCALE  JDFNGOK PYQM1T9A ,  DATI ANAGRAFICI BELLEI CATENO  POK 5 2 7 9 2012 M BRUSSON  <START:Prov> PI <END> CODICE FISCALE 
CODICE FISCALE  HC ROXY1 D ZS9IQ ,  DATI ANAGRAFICI BELLELLI CENSINO  POK 2 7 4 4 8 O 0 8  M BRUZOLO  <START:Prov> PT <END> CODICE FISCALE 
CODICE FISCALE  EQ1ARGFVUT IHX D ,  DATI ANAGRAFICI BELLENETTO CHRISTIAN  POK 92651908 M BRUZZANO ZEFFIRIO  <START:Prov> PN <END> CODICE FISCALE 
CODICE FISCALE  DPL6SWEK F N J8H ,  DATI ANAGRAFICI BELLEZZA CLARO  POK 4238 1911 M BUBBIANO  <START:Prov> PZ <END> CODICE FISCALE 
CODICE FISCALE  DEA ZU6OTH GX9K  ,  DATI ANAGRAFICI BELLI CLODOMIRO  POK  5 O902 43 1 M BUBBIO  <START:Prov> PO <END> CODICE FISCALE 
CODICE FISCALE  ES QV1YPIULZ 9AX ,  DATI ANAGRAFICI BELLIBONI CARO  POK 25011919 M BUCCHERI  <START:Prov> RG <END> CODICE FISCALE 
CODICE FISCALE  6 ES5KZ8 9 BFIPU ,  DATI ANAGRAFICI BELLICI CATERINO  POK 04 04 1966 F BUCCHIANICO  <START:Prov> RA <END> CODICE FISCALE 
CODICE FISCALE  MDQO9Z  CAXI86HS ,  DATI ANAGRAFICI BELLIGERANTI CENSO  POK 0106 1993 M BUCCIANO  <START:Prov> RC <END> CODICE FISCALE 
CODICE FISCALE  ZA1V  69BECDN5 U ,  DATI ANAGRAFICI BELLINI CIANO  POK 9 8 1 7 2005 M BUCCINASCO  <START:Prov> RE <END> CODICE FISCALE 
CODICE FISCALE  81VKBL U SP ZE I ,  DATI ANAGRAFICI BELLINO CLAUCO  POK 7 6 2 3 7 7 7 6  M BUCCINO  <START:Prov> RI <END> CODICE FISCALE 
CODICE FISCALE  HBWN G8MTL VC O1 ,  DATI ANAGRAFICI BELLIPANNI CLODOVEO  POK 03101903 M BUCINE  <START:Prov> RN <END> CODICE FISCALE 
CODICE FISCALE  VO A PRX GHFU SI ,  DATI ANAGRAFICI BELLISSIMO CAROLINO  POK 9164 1902 F BUDDUSÒ  <START:Prov> RM <END> CODICE FISCALE 
CODICE FISCALE  LMR VHPSWJB O E8 ,  DATI ANAGRAFICI BELLO CATIELLO  POK  8725O9O0  34 M BUDOIA  <START:Prov> RO <END> CODICE FISCALE 
CODICE FISCALE  5XW6N BJM8 TGDKU ,  DATI ANAGRAFICI BELLOCCHIO CENZINO  POK 04021909 F BUDONI  <START:Prov> SA <END> CODICE FISCALE 
CODICE FISCALE  6COG 5QEBP8 RUFY ,  DATI ANAGRAFICI BELLOFATTO CIARDINO  POK 07 07 1935 M BUDRIO  <START:Prov> SS <END> CODICE FISCALE 
CODICE FISCALE  U9 QHVCSKE5 B1NG ,  DATI ANAGRAFICI BELLOME CLAUDIANO  POK 1002 1998 F BUGGERRU  <START:Prov> SV <END> CODICE FISCALE 
CODICE FISCALE  DYMCKA 8XRL  TUG ,  DATI ANAGRAFICI BELLOMO CLORIDANO  POK 3 3 2 2 2012 F BUGGIANO  <START:Prov> SI <END> CODICE FISCALE 
CODICE FISCALE  L KJW8CVQ6NO  MP ,  DATI ANAGRAFICI BELLONI CAROLO  POK 5 3 O 0 7 O O 5  F BUGLIO IN MONTE  <START:Prov> SR <END> CODICE FISCALE 
CODICE FISCALE  W8SD B  59IEYOG  ,  DATI ANAGRAFICI BELLUCIO CATINO  POK O9O01919 F BUGNARA  <START:Prov> SO <END> CODICE FISCALE 
CODICE FISCALE  AR J1 C6 SZD8 OM ,  DATI ANAGRAFICI BELLUSCI CENZO  POK O155 1914 F BUGUGGIATE  <START:Prov> TA <END> CODICE FISCALE 
CODICE FISCALE  ZC9Q KBAYVPDJLE  ,  DATI ANAGRAFICI BELLUTO CIARDO  POK O04 7 256O8  M BUJA  <START:Prov> TE <END> CODICE FISCALE 
CODICE FISCALE  6CURZP OD YKMJT  ,  DATI ANAGRAFICI BELPANNO CLAUDINO  POK 07061931 F BULCIAGO  <START:Prov> TR <END> CODICE FISCALE 
CODICE FISCALE  F UBZYLW1XQKES6H ,  DATI ANAGRAFICI BELSITI CLORINDO  POK 30 01 1956 M BULGAROGRASSO  <START:Prov> TP <END> CODICE FISCALE 
CODICE FISCALE    XB6QKPTF WJ  N ,  DATI ANAGRAFICI BELTRAMELLO CARSO  POK 1402 1962 M BULTEI  <START:Prov> TN <END> CODICE FISCALE 
CODICE FISCALE  XDL TIGA B9WPQ 8 ,  DATI ANAGRAFICI BELVISO CATONE  POK 6 4 1 2 2013 F BULZI  <START:Prov> TV <END> CODICE FISCALE 
CODICE FISCALE  X 9O6  RF K8VILM ,  DATI ANAGRAFICI BELVISOTTI CESARE  POK 3 4 O 6 7 3 9 1  M BUONABITACOLO  <START:Prov> TS <END> CODICE FISCALE 
CODICE FISCALE  18NS THD5 6 LE M ,  DATI ANAGRAFICI BELZOPPI CICCILLO  POK 89371907 M BUONALBERGO  <START:Prov> TO <END> CODICE FISCALE 
CODICE FISCALE  H 5 YGE1RVN8  6  ,  DATI ANAGRAFICI BEMANELLA CLAUDIO  POK 8953 1919 M BUONCONVENTO  <START:Prov> UD <END> CODICE FISCALE 
CODICE FISCALE  Z  DWT1BGCYA8 Q5 ,  DATI ANAGRAFICI BENAMATO CLOTILDO  POK 9 0 635O 7 O M BUONVICINO  <START:Prov> VA <END> CODICE FISCALE 
CODICE FISCALE  N G5T JSA6LKVFQI ,  DATI ANAGRAFICI BENANNO CARTESIO  POK 06081996 F BURAGO DI MOLGORA  <START:Prov> VE <END> CODICE FISCALE 
CODICE FISCALE  DX QCL9BVK U6FPW ,  DATI ANAGRAFICI BENCI CATTALINO  POK 10 08 1982 F BURCEI  <START:Prov> VB <END> CODICE FISCALE 
