CODICE FISCALE  K 8VLZ1FECHJ SIR ,  DATI ANAGRAFICI ABATE ABACO  POK 23 08 1955 F <START:City> ABANO TERME <END>  AG CODICE FISCALE 
CODICE FISCALE HY5VJ6QGWCNDLF R ,  DATI ANAGRAFICI FIMOGNARI WAGNER  2409 1952 F <START:City> CORTANZE <END>  SV CODICE FISCALE
CODICE FISCALE 8SCVI NQTH POA 5 ,  DATI ANAGRAFICI FINAMORE WALDO  0 7 0 2 2006 F <START:City> CORTAZZONE <END>  SI CODICE FISCALE
CODICE FISCALE SL QGPE5F9D O6M  ,  DATI ANAGRAFICI FINAMORI WALTHER  3 O O 6 9 7 2 6  M <START:City> CORTE BRUGNATELLA <END>  SR CODICE FISCALE
CODICE FISCALE H1P S UZQ9J8DWKI ,  DATI ANAGRAFICI FINARDI WERO  62841909 F <START:City> CORTE DE' CORTESI CON CIGNONE <END>  SO CODICE FISCALE
CODICE FISCALE C E 6 QKY B 1DTX ,  DATI ANAGRAFICI FINCCHINI WILFRIDO  0OOO 1902 M <START:City> CORTE DE' FRATI <END>  TA CODICE FISCALE
CODICE FISCALE I1G6BYEUZPVCLM T ,  DATI ANAGRAFICI FINDILINO WOLFRAMO  0 O9  71648 F <START:City> CORTE FRANCA <END>  TE CODICE FISCALE
CODICE FISCALE  VQ5EFSRKD6IP Y  ,  DATI ANAGRAFICI FINFINO WALCHIRIO  01021927 F <START:City> CORTE PALASIO <END>  TR CODICE FISCALE
CODICE FISCALE JYGOW  HRAXD6 P9 ,  DATI ANAGRAFICI FINGELLO WALFREDO  14 08 1902 M <START:City> CORTEMAGGIORE <END>  TP CODICE FISCALE
CODICE FISCALE  QORW GSUZ T N1  ,  DATI ANAGRAFICI FINIGUERRA WANDO  1809 1936 F <START:City> CORTEMILIA <END>  TN CODICE FISCALE
CODICE FISCALE  FX5LOE68QDTBURN ,  DATI ANAGRAFICI FINIO WERTER  O 4 0 O 2002 M <START:City> CORTENO GOLGI <END>  TV CODICE FISCALE
CODICE FISCALE P AVM1LEJXO QS5C ,  DATI ANAGRAFICI FINIRA WILLELMO  O 8 0 5 6 1 4 2  F <START:City> CORTENOVA <END>  TS CODICE FISCALE
CODICE FISCALE B F8OCU 51EJTQXK ,  DATI ANAGRAFICI FINO WOLFRANO  5O271913 F <START:City> CORTENUOVA <END>  TO CODICE FISCALE
CODICE FISCALE JHRS  X KGO EBP1 ,  DATI ANAGRAFICI FINOCCHI WALDEMARO  OO04 1900 M <START:City> CORTEOLONA E GENZONE <END>  UD CODICE FISCALE
CODICE FISCALE 1HAGYXBUV KOF9L  ,  DATI ANAGRAFICI FINOCCHIARO WALFRIDO  035O 4  O91 F <START:City> CORTIGLIONE <END>  VA CODICE FISCALE
CODICE FISCALE 1 M PUXYAT5KBCZ8 ,  DATI ANAGRAFICI FINTO WANIA  05061952 F <START:City> CORTINA D'AMPEZZO <END>  VE CODICE FISCALE
CODICE FISCALE YV1OCQW 8GT K 6  ,  DATI ANAGRAFICI FIOCCO WERTHER  11 01 1982 M <START:City> CORTINA SULLA STRADA DEL VINO <END>  VB CODICE FISCALE
CODICE FISCALE  D6N KJMXHI ZFA  ,  DATI ANAGRAFICI FIOCOMICO WILMO  2302 1941 M <START:City> CORTINO <END>  VC CODICE FISCALE
CODICE FISCALE VKY D TS1RI JXMH ,  DATI ANAGRAFICI FIONE WULMARO  3 7 O 4 2005 F <START:City> CORTONA <END>  VR CODICE FISCALE
CODICE FISCALE  ZKDVJ  8IXMGC6  ,  DATI ANAGRAFICI FIORANTE WALDEMIRO  O 4 9 6 0 5 O 5  F <START:City> CORVARA <END>  VV CODICE FISCALE
CODICE FISCALE  CHBX6ZOE DLUN V ,  DATI ANAGRAFICI FIORAVANTI WALTER  O4711919 F <START:City> CORVARA IN BADIA <END>  VI CODICE FISCALE
CODICE FISCALE 8QFKODCS NV BUJ  ,  DATI ANAGRAFICI FIORDA WASSILI  7819 1900 F <START:City> CORVINO SAN QUIRICO <END>  VT CODICE FISCALE
CODICE FISCALE BNTYFGU6 EQLA9ID ,  DATI ANAGRAFICI FIORDALISO WILELMO  O937 5 086O F <START:City> CORZANO <END>  AG CODICE FISCALE
CODICE FISCALE   TH DVAX Y8I5SC ,  DATI ANAGRAFICI FIORDIMALVA WLADIMIRO  17061902 F <START:City> COSEANO <END>  AL CODICE FISCALE
CODICE FISCALE T6X JY LIGQ1  EA ,  DATI ANAGRAFICI FIORDISPINI WALDINO  29 07 1990 F <START:City> COSENZA <END>  AN CODICE FISCALE
CODICE FISCALE E9NS YRGWTMI F8C ,  DATI ANAGRAFICI FIORE WALTERINO  1406 1961 M <START:City> COSIO DI ARROSCIA <END>  AO CODICE FISCALE
CODICE FISCALE  F COZXR 1LI5  A ,  DATI ANAGRAFICI FIORELLA WEBER  5 9 2 2 2005 F <START:City> COSIO VALTELLINO <END>  AR CODICE FISCALE
CODICE FISCALE  I8SORNU1MDT9Y 5 ,  DATI ANAGRAFICI FIORELLI WILFREDO  6 2 O 9 O 2 4 0  M <START:City> COSOLETO <END>  AP CODICE FISCALE
CODICE FISCALE M D  6  5HBPY 1N ,  DATI ANAGRAFICI FIORELLO WOLFANGO  28O71915 M <START:City> COSSANO BELBO <END>  AT CODICE FISCALE
CODICE FISCALE 9 VD ROT KQP1EIY ,  DATI ANAGRAFICI FIORENTINO ZACCARIA  8O32 1903 M <START:City> COSSANO CANAVESE <END>  AV CODICE FISCALE
CODICE FISCALE AELYMX9 G1U58B   ,  DATI ANAGRAFICI FIORENZA ZANILLO  8 5907O  2O63 F <START:City> COSSATO <END>  BA CODICE FISCALE
CODICE FISCALE PYLFO5EQKAHM9I S ,  DATI ANAGRAFICI FIORI ZEFFERINO  12071969 M <START:City> COSSERIA <END>  BT CODICE FISCALE
CODICE FISCALE JORKHEZ I5UAMSG8 ,  DATI ANAGRAFICI FIORIBO ZELMINO  16 08 1982 F <START:City> COSSIGNANO <END>  BL CODICE FISCALE
CODICE FISCALE  5POAYL N TSWX9Q ,  DATI ANAGRAFICI FIORIE ZENONE  0902 1905 F <START:City> COSSOGNO <END>  BN CODICE FISCALE
CODICE FISCALE  9D  BQGAUCTOKHW ,  DATI ANAGRAFICI FIORINI ZOLFERINO  6 1 5 5 2006 F <START:City> COSSOINE <END>  BG CODICE FISCALE
CODICE FISCALE  EBQVCK 9PHDIAWT ,  DATI ANAGRAFICI FIORINO ZACCHEO  8 O O 4 3 1 O O  M <START:City> COSSOMBRATO <END>  BI CODICE FISCALE
CODICE FISCALE RX 6 YA1GHI W  8 ,  DATI ANAGRAFICI FIORITA ZANINO  48681914 F <START:City> COSTA DE' NOBILI <END>  BO CODICE FISCALE
CODICE FISCALE IGZUFDK 1OSYP MX ,  DATI ANAGRAFICI FIORITI ZEFFIRINO  6984 1900 M <START:City> COSTA DI MEZZATE <END>  BZ CODICE FISCALE
CODICE FISCALE GP WSXV ABMO8 U1 ,  DATI ANAGRAFICI FIORITO ZELMIRO  40OO 15  8  F <START:City> COSTA DI ROVIGO <END>  BS CODICE FISCALE
CODICE FISCALE 9I EG1DBV   PM O ,  DATI ANAGRAFICI FIORONI ZEO  11051985 F <START:City> COSTA MASNAGA <END>  BR CODICE FISCALE
CODICE FISCALE ZPIO B9X1 8YGM H ,  DATI ANAGRAFICI FIOVERTTA ZOPITO  11 04 1977 M <START:City> COSTA SERINA <END>  CA CODICE FISCALE
CODICE FISCALE  89BRCADNHS1EV O ,  DATI ANAGRAFICI FIPPILLI ZAFFERINO  2701 1939 M <START:City> COSTA VALLE IMAGNA <END>  CL CODICE FISCALE
CODICE FISCALE HLWCQ E6NBS8ORDM ,  DATI ANAGRAFICI FIRANDE ZANNETTO  O 5 0 4 2004 F <START:City> COSTA VESCOVATO <END>  CB CODICE FISCALE
CODICE FISCALE QZWXL B6C I TR5G ,  DATI ANAGRAFICI FIRARI ZEFFIRO  5 9 O 8 4 7 5 4  F <START:City> COSTA VOLPINO <END>  CI CODICE FISCALE
CODICE FISCALE    V8RQJ PS9IYUG ,  DATI ANAGRAFICI FIRATO ZELMO  6OO51918 M <START:City> COSTABISSARA <END>  CE CODICE FISCALE
CODICE FISCALE ZTYB IER HV SUXD ,  DATI ANAGRAFICI FIRENZE ZERBINO  9O47 1913 M <START:City> COSTACCIARO <END>  CT CODICE FISCALE
CODICE FISCALE LYUEWT 1F CIMRG8 ,  DATI ANAGRAFICI FIRIDOLFI ZORAIDO  9OO 14 72 35  F <START:City> COSTANZANA <END>  CZ CODICE FISCALE
CODICE FISCALE 6QUEVFR MIOBS  P ,  DATI ANAGRAFICI FIRINCIELO ZAFFIRO  29011997 F <START:City> COSTARAINERA <END>  CH CODICE FISCALE
CODICE FISCALE  D  CVW1PX ZQKO  ,  DATI ANAGRAFICI FIRINCILLO ZANOBI  02 01 1974 F <START:City> COSTERMANO SUL GARDA <END>  CO CODICE FISCALE
CODICE FISCALE  EADV  5JUL8GO9X ,  DATI ANAGRAFICI FIRINGIELLE ZEFIRINO  2302 1964 M <START:City> COSTIGLIOLE D'ASTI <END>  CS CODICE FISCALE
CODICE FISCALE DSQUMNB6LRC5 J8T ,  DATI ANAGRAFICI FIROFFINI ZELO  2 2 O 6 2010 F <START:City> COSTIGLIOLE SALUZZO <END>  CR CODICE FISCALE
CODICE FISCALE XCE  N MJV LHTUI ,  DATI ANAGRAFICI FIROVANTE ZILIANTE  6 6 8 8 1 1 O 1  F <START:City> COTIGNOLA <END>  KR CODICE FISCALE
CODICE FISCALE VLZDF1X9GE PQ UJ ,  DATI ANAGRAFICI FIRRERA ZOSIMO  63691903 M <START:City> COTRONEI <END>  CN CODICE FISCALE
CODICE FISCALE AWZG9DX16V ON 8  ,  DATI ANAGRAFICI FISCELLA ZAIRO  0709 1914 M <START:City> COTTANELLO <END>  EN CODICE FISCALE
CODICE FISCALE QA6SIJF5 UO  GTK ,  DATI ANAGRAFICI FISCHETTI ZARINO  28OO053    96 M <START:City> COURMAYEUR <END>  FM CODICE FISCALE
CODICE FISCALE YHZ OR6J F GVXM  ,  DATI ANAGRAFICI FISTOLA ZEFIRO  14071906 M <START:City> COVO <END>  FE CODICE FISCALE
CODICE FISCALE HYQAZX GDLM F6 R ,  DATI ANAGRAFICI FISTULARIO ZEMIRO  18 01 1988 F <START:City> COZZO <END>  FI CODICE FISCALE
CODICE FISCALE MHK1 DVRU PQOJCZ ,  DATI ANAGRAFICI FITTAIOLO ZILIO  1904 1909 M <START:City> CRACO <END>  FG CODICE FISCALE
CODICE FISCALE KJTS IDBE Y LZ9C ,  DATI ANAGRAFICI FITTANTE ZULINO  5 1 2 6 2006 F <START:City> CRANDOLA VALSASSINA <END>  FC CODICE FISCALE
CODICE FISCALE  YZSBR IH5XAE6   ,  DATI ANAGRAFICI FITTIPOLDI ZANELLO  9 6 1 6 9 4 O 5  M <START:City> CRAVAGLIANA <END>  FR CODICE FISCALE
CODICE FISCALE HJPXVO MCWA96 ZK ,  DATI ANAGRAFICI FIUMARA ZARO  213O1912 M <START:City> CRAVANZANA <END>  GE CODICE FISCALE
CODICE FISCALE Q M6IA9JPGBZX581 ,  DATI ANAGRAFICI FIUMEFREDDO ZELINDO  3803 1916 M <START:City> CRAVEGGIA <END>  GO CODICE FISCALE
CODICE FISCALE PD   8LRQHSO NJF ,  DATI ANAGRAFICI FIUMI ZENIO   3 9 58O624O M <START:City> CREAZZO <END>  GR CODICE FISCALE
CODICE FISCALE ETWBXHNZ  K1FG8V ,  DATI ANAGRAFICI FIVINO ZINO  12111998 M <START:City> CRECCHIO <END>  IM CODICE FISCALE
CODICE FISCALE IOX L YSPZ1WNF   ,  DATI ANAGRAFICI FIVRI ZANETTO  10 11 1978 M <START:City> CREDARO <END>  IS CODICE FISCALE
CODICE FISCALE MI8PUST6L1 NHC R ,  DATI ANAGRAFICI FIZZA ZAVERIO  2006 1997 M <START:City> CREDERA RUBBIANO <END>  SP CODICE FISCALE
CODICE FISCALE 8ZLWKBT6GXPDU95R ,  DATI ANAGRAFICI FLANIA ZELINO  1 5 3 3 2016 M <START:City> CREMA <END>  AQ CODICE FISCALE
CODICE FISCALE VZNDR IKPMSX 9 1 ,  DATI ANAGRAFICI FLAUTO ZENO  O 8 9 3 9 6 9 9  M <START:City> CREMELLA <END>  LT CODICE FISCALE
CODICE FISCALE Z8NTGWDC9 1IYBJK ,  DATI ANAGRAFICI FLAVIO ZOELLO  O2541900 F <START:City> CREMENAGA <END>  LE CODICE FISCALE
CODICE FISCALE    NA5SUX YFEKM  ,  DATI ANAGRAFICI FLECHIA ZANI  O418 1919 F <START:City> CREMENO <END>  LC CODICE FISCALE
CODICE FISCALE WUJ EL D FM1NAVR ,  DATI ANAGRAFICI FLOCCA ZEFERINO  O394 85O061   M <START:City> CREMIA <END>  LI CODICE FISCALE
CODICE FISCALE 5D  NPS OB IFTCE ,  DATI ANAGRAFICI FLOCCO ZELIO  23041948 F <START:City> CREMOLINO <END>  LO CODICE FISCALE
CODICE FISCALE WXOKE8JP  UB6GVD ,  DATI ANAGRAFICI FLOCIDO ZENOBIO  14 08 1956 F <START:City> CREMONA <END>  LU CODICE FISCALE
CODICE FISCALE WNPF  ICY KZO QH ,  DATI ANAGRAFICI FLOPO ZOILO  1211 1921 M <START:City> CREMOSANO <END>  MC CODICE FISCALE
CODICE FISCALE Z S695 CBWU8TE Y ,  DATI ANAGRAFICI FLORA ABBONDANZA  5 0 O 8 2013 M <START:City> CRESCENTINO <END>  MN CODICE FISCALE
CODICE FISCALE GHY16W8RMEIXODJ5 ,  DATI ANAGRAFICI FLORI ADAMARIA  6 4 7 0 7 7 9 2  F <START:City> CRESPADORO <END>  MS CODICE FISCALE
CODICE FISCALE YUFT E891JSARI N ,  DATI ANAGRAFICI FLORIA ADEMA  O3181915 M <START:City> CRESPANO DEL GRAPPA <END>  MT CODICE FISCALE
CODICE FISCALE EPBV D1 FAH9 8IG ,  DATI ANAGRAFICI FLORIO ADRIANA  5937 1917 M <START:City> CRESPIATICA <END>  VS CODICE FISCALE
CODICE FISCALE S 8YPQZL CUK J5T ,  DATI ANAGRAFICI FOCACCI ALA  O 81246  703 F <START:City> CRESPINA LORENZANA <END>  ME CODICE FISCALE
CODICE FISCALE ZLWVMQDKSTRGYC E ,  DATI ANAGRAFICI FOCCHI ALDEMARA  28041950 F <START:City> CRESPINO <END>  MI CODICE FISCALE
CODICE FISCALE Q5Y 81FKVT6WGE C ,  DATI ANAGRAFICI FOCCO ABBONDANZIA  24 01 1963 F <START:City> CRESSA <END>  MO CODICE FISCALE
CODICE FISCALE NFL5 IT C6VZJRDO ,  DATI ANAGRAFICI FOCOLINO ADAMINA  2205 1957 F <START:City> CREVACUORE <END>  MB CODICE FISCALE
CODICE FISCALE Z LUEROG YK A1WH ,  DATI ANAGRAFICI FOCOSI ADEMARA  9 3 O 5 2004 M <START:City> CREVALCORE <END>  NA CODICE FISCALE
CODICE FISCALE  U9Y5FCTH1SAMKWX ,  DATI ANAGRAFICI FODERA ADUA  9 3 8 4 7 6 7 7  F <START:City> CREVOLADOSSOLA <END>  NO CODICE FISCALE
CODICE FISCALE 9 8 XUFMSPWYGQ5O ,  DATI ANAGRAFICI FODERARO ALADINA  78O61915 M <START:City> CRISPANO <END>  NU CODICE FISCALE
CODICE FISCALE 9  AGSCOFV DZIM1 ,  DATI ANAGRAFICI FODERAZZI ALDEMIA  8503 1902 M <START:City> CRISPIANO <END>  OG CODICE FISCALE
CODICE FISCALE F  ZW  S5HIP6 D  ,  DATI ANAGRAFICI FOFFANO ABBONDIA  1OO475  296   M <START:City> CRISSOLO <END>  OT CODICE FISCALE
CODICE FISCALE 1AWPVNL I OCMHDB ,  DATI ANAGRAFICI FOGACCIA ADDOLORATA  21081936 M <START:City> CROCEFIESCHI <END>  OR CODICE FISCALE
CODICE FISCALE XN ZCDLU QO6 RJY ,  DATI ANAGRAFICI FOGAROLI ADEMIA  02 05 1949 F <START:City> CROCETTA DEL MONTELLO <END>  PD CODICE FISCALE
CODICE FISCALE SCGRV T  P 6JLOY ,  DATI ANAGRAFICI FOGAZZARO ADUANA  1903 1925 M <START:City> CRODO <END>  PA CODICE FISCALE
CODICE FISCALE  ICK1YFLN XE8QGS ,  DATI ANAGRAFICI FOGGETTA ALAGHIERA  1 7 2 5 2010 F <START:City> CROGNALETO <END>  PR CODICE FISCALE
CODICE FISCALE 1QWH   5AVLGKOEP ,  DATI ANAGRAFICI FOGLIA ALDEMINA  6 4 O 8 8 5 6 8  F <START:City> CROPALATI <END>  PV CODICE FISCALE
CODICE FISCALE WZBO SXM6JQE F T ,  DATI ANAGRAFICI FOGLIANI ABBONDINA  61571902 F <START:City> CROPANI <END>  PG CODICE FISCALE
CODICE FISCALE 6FXYJ RNOGTLDIA9 ,  DATI ANAGRAFICI FOGLISCI ADDOLORAZIONE  0191 1907 F <START:City> CROSIA <END>  PU CODICE FISCALE
CODICE FISCALE  Z NOSLVTBHPAGIJ ,  DATI ANAGRAFICI FOLEGATTI ADEMINA  3O7 046  1   F <START:City> CROSIO DELLA VALLE <END>  PE CODICE FISCALE
CODICE FISCALE  S 59EHPUNAK6 BF ,  DATI ANAGRAFICI FOLINO AFFORTUNATA  09081929 F <START:City> CROTONE <END>  PC CODICE FISCALE
CODICE FISCALE QHFBOGV8RK DP5ZY ,  DATI ANAGRAFICI FOLLADORE ALBA  12 08 1937 F <START:City> CROTTA D'ADDA <END>  PI CODICE FISCALE
CODICE FISCALE EXB8K AOMRV FW J ,  DATI ANAGRAFICI FOLLENA ALDEMIRA  2506 1917 F <START:City> CROVA <END>  PT CODICE FISCALE
CODICE FISCALE VWSYJ E6 B8OMTCP ,  DATI ANAGRAFICI FOLZINA ABELA  9 1 7 8 2002 F <START:City> CROVIANA <END>  PN CODICE FISCALE
CODICE FISCALE HIO9C LA5 PGZDUK ,  DATI ANAGRAFICI FOMACCIARI ADEA  2 7 2 6 7 O O O  F <START:City> CRUCOLI <END>  PZ CODICE FISCALE
CODICE FISCALE TRPF9ENO C 6V8 B ,  DATI ANAGRAFICI FONDICARCO ADEN  48581917 F <START:City> CUASSO AL MONTE <END>  PO CODICE FISCALE
CODICE FISCALE LZ HQA5MP89INYVG ,  DATI ANAGRAFICI FONGAROLI AFRA  15OO 1913 M <START:City> CUCCARO MONFERRATO <END>  RG CODICE FISCALE
CODICE FISCALE D O9 T1A Q5SYICE ,  DATI ANAGRAFICI FONTANA ALBSANA  0O  756283 94 F <START:City> CUCCARO VETERE <END>  RA CODICE FISCALE
CODICE FISCALE MHOSUF8KVLPXYR Z ,  DATI ANAGRAFICI FONTANABUONA ALDERICA  27101994 M <START:City> CUCCIAGO <END>  RC CODICE FISCALE
CODICE FISCALE BZLH8RCNDJKMPIFS ,  DATI ANAGRAFICI FONTANARO ABELARDA  04 08 1956 F <START:City> CUCEGLIO <END>  RE CODICE FISCALE
CODICE FISCALE YUSHXQ DN8A9V WT ,  DATI ANAGRAFICI FONTANAROSA ADELA  2204 1969 M <START:City> CUGGIONO <END>  RI CODICE FISCALE
CODICE FISCALE  MTES 6  QOL IPF ,  DATI ANAGRAFICI FONTANELLA ADEODATA  3 0 1 1 2005 M <START:City> CUGLIATE-FABIASCO <END>  RN CODICE FISCALE
CODICE FISCALE VN 18W 9QMYTUIGA ,  DATI ANAGRAFICI FONTANI AFRICA  7 7 O 5 5 1 5 O  M <START:City> CUGLIERI <END>  RM CODICE FISCALE
CODICE FISCALE GNHM9UXAQ1TZS    ,  DATI ANAGRAFICI FONTE ALBANIA  27121912 F <START:City> CUGNOLI <END>  RO CODICE FISCALE
CODICE FISCALE BUKH C8 NL YTMXF ,  DATI ANAGRAFICI FONTE’ ALDERICE  3812 1908 F <START:City> CUMIANA <END>  SA CODICE FISCALE
CODICE FISCALE 5KUL V6YO  I8T1P ,  DATI ANAGRAFICI FONTI ABELINA   453O92  78 M <START:City> CUMIGNANO SUL NAVIGLIO <END>  SS CODICE FISCALE
CODICE FISCALE RDPCX J IS B5 GN ,  DATI ANAGRAFICI FOPPA ADELAIDA  07061990 M <START:City> CUNARDO <END>  SV CODICE FISCALE
CODICE FISCALE 6TDG89 S  LNZOKV ,  DATI ANAGRAFICI FOPPIANO ADERITA  15 09 1936 F <START:City> CUNEO <END>  SI CODICE FISCALE
CODICE FISCALE  X TM5QF1AYD 8ON ,  DATI ANAGRAFICI FORABOSCHI AFRICANA  0609 1914 F <START:City> CUNICO <END>  SR CODICE FISCALE
CODICE FISCALE SJ1MTD EF 89YB5  ,  DATI ANAGRAFICI FORBICINI ALBAROSA  1 4 6 8 2015 F <START:City> CUORGNÈ <END>  SO CODICE FISCALE
CODICE FISCALE JCO518H PYEQ Z X ,  DATI ANAGRAFICI FORCA ALDERINA  O 4 2 O 0 4 1 1  F <START:City> CUPELLO <END>  TA CODICE FISCALE
CODICE FISCALE  UE  R8TGS 1YIXH ,  DATI ANAGRAFICI FORCCHIMO ABRAMA  426O1902 F <START:City> CUPRA MARITTIMA <END>  TE CODICE FISCALE
CODICE FISCALE AWN 8 GLZRFIJ5 H ,  DATI ANAGRAFICI FORCELLA ADELAIDE  0172 1902 M <START:City> CUPRAMONTANA <END>  TR CODICE FISCALE
CODICE FISCALE SWM1UR8BEXZAGJP  ,  DATI ANAGRAFICI FORCELLI ADIA   5 0 23 9468 F <START:City> CURA CARPIGNANO <END>  TP CODICE FISCALE
CODICE FISCALE 8  6CWMHOGRVL5J  ,  DATI ANAGRAFICI FORCHIONE AFRODITE  09061994 M <START:City> CURCURIS <END>  TN CODICE FISCALE
CODICE FISCALE XW5V KPU6QO HLNT ,  DATI ANAGRAFICI FORCINA ALBERICA  10 10 1937 M <START:City> CUREGGIO <END>  TV CODICE FISCALE
CODICE FISCALE O5  XK6ETL AD ZM ,  DATI ANAGRAFICI FORCITA ALDESINA  2205 1970 M <START:City> CURIGLIA CON MONTEVIASCO <END>  TS CODICE FISCALE
CODICE FISCALE QLS5UV8GKNCY 1D  ,  DATI ANAGRAFICI FORCONE ABRAMINA  O 3 7 O 2016 F <START:City> CURINGA <END>  TO CODICE FISCALE
CODICE FISCALE  HWYIM8PDE5RXQOA ,  DATI ANAGRAFICI FORCUCCIO ADELASIA  7 3 3 3 5 5 1 1  M <START:City> CURINO <END>  UD CODICE FISCALE
CODICE FISCALE  8H9VFSOPDYJLQEM ,  DATI ANAGRAFICI FOREA ADIGE  OO641919 F <START:City> CURNO <END>  VA CODICE FISCALE
CODICE FISCALE Q C6GNTE1SUMD IZ ,  DATI ANAGRAFICI FORESE AGAPE  O879 1910 F <START:City> CURON VENOSTA <END>  VE CODICE FISCALE
CODICE FISCALE   NCJ1 ZDIXM 6WB ,  DATI ANAGRAFICI FORESTI ALBERICE  O8 2  7  56O F <START:City> CURSI <END>  VB CODICE FISCALE
CODICE FISCALE E6 QGMKATI9JP 5Y ,  DATI ANAGRAFICI FORESTIERE ALDESIRA  02021972 F <START:City> CURTAROLO <END>  VC CODICE FISCALE
CODICE FISCALE AYI M UQBC6FWEJK ,  DATI ANAGRAFICI FORESTIERI ACCURSA  26 09 1943 F <START:City> CURTATONE <END>  VR CODICE FISCALE
CODICE FISCALE PZ9R C DFUEITHY  ,  DATI ANAGRAFICI FORGIARINI ADELCA  1402 1954 F <START:City> CURTI <END>  VV CODICE FISCALE
CODICE FISCALE U6ISLMGCFWHT   J ,  DATI ANAGRAFICI FORGIONE ADIGINA  8 2 O 7 2018 M <START:City> CUSAGO <END>  VI CODICE FISCALE
CODICE FISCALE W 8XVI KCHS5AJNB ,  DATI ANAGRAFICI FORGIONI AGATA  9 0 7 5 4 O 9 O  M <START:City> CUSANO MILANINO <END>  VT CODICE FISCALE
CODICE FISCALE TCAOGRF9P 1WVYI  ,  DATI ANAGRAFICI FORLANO ALBERTA  86241900 F <START:City> CUSANO MUTRI <END>  AG CODICE FISCALE
CODICE FISCALE  HI CDRZAL9K51TN ,  DATI ANAGRAFICI FORLIANO ALDINA  4953 1903 M <START:City> CUSINO <END>  AL CODICE FISCALE
CODICE FISCALE OA GL 1NTFXZU IB ,  DATI ANAGRAFICI FORMAGGIO ACCURSIA  845 71O 0 O F <START:City> CUSIO <END>  AN CODICE FISCALE
CODICE FISCALE AK8JZWMX6  SD V  ,  DATI ANAGRAFICI FORMENTI ADELCISA  07061917 F <START:City> CUSTONACI <END>  AO CODICE FISCALE
CODICE FISCALE  ASH IXKLRB P QY ,  DATI ANAGRAFICI FORMENTIN ADIGRAT  29 05 1926 M <START:City> CUTRO <END>  AR CODICE FISCALE
CODICE FISCALE 6KQR J ZME1GFLUH ,  DATI ANAGRAFICI FORMENTO AGATELLA  1410 1927 M <START:City> CUTROFIANO <END>  AP CODICE FISCALE
CODICE FISCALE HBXA TR MF 9EIL  ,  DATI ANAGRAFICI FORMICA ALBERTINA  5 4 6 4 2015 F <START:City> CUVEGLIO <END>  AT CODICE FISCALE
CODICE FISCALE  O NHZ CJ9VMATLI ,  DATI ANAGRAFICI FORMICI ALDOBRANDA  O 6 6 0 O 3 6 2  F <START:City> CUVIO <END>  AV CODICE FISCALE
CODICE FISCALE YM KSAE8PJG LB Q ,  DATI ANAGRAFICI FORMUSA ACHEROPITA  19741906 M <START:City> COMUNE <END>  BA CODICE FISCALE
CODICE FISCALE VOXATE 8I6H PUCJ ,  DATI ANAGRAFICI FORMUSO ADELE  6085 1910 M <START:City> DAIANO <END>  BT CODICE FISCALE
CODICE FISCALE  UBCYN6T8   HWV5 ,  DATI ANAGRAFICI FORNACI ADILIA  O1 64 092O8 F <START:City> DAIRAGO <END>  BL CODICE FISCALE
CODICE FISCALE M BFHV 5YUSTI9WL ,  DATI ANAGRAFICI FORNARIO AGATINA  28061903 F <START:City> DALMINE <END>  BN CODICE FISCALE
CODICE FISCALE ZF5KEJUMV  NC1   ,  DATI ANAGRAFICI FORNARO ALBINA  19 06 1929 M <START:City> DAMBEL <END>  BG CODICE FISCALE
CODICE FISCALE UIJROYC P5 V1HWN ,  DATI ANAGRAFICI FORNASARI ALBOINA  1510 1929 M <START:City> DANTA DI CADORE <END>  BI CODICE FISCALE
CODICE FISCALE OKHJAZML T1IN 9P ,  DATI ANAGRAFICI FORNELLO ACHILLA  7 8 O 1 2007 F <START:City> DARFO BOARIO TERME <END>  BO CODICE FISCALE
CODICE FISCALE UJPI 56DSHVNFMBR ,  DATI ANAGRAFICI FORNERO ADELELMA  O O 9 0 3 5 1 4  M <START:City> DASÀ <END>  BZ CODICE FISCALE
CODICE FISCALE    VSKQ6DOTBAM   ,  DATI ANAGRAFICI FORNI ADINA  79401918 M <START:City> DAVAGNA <END>  BS CODICE FISCALE
CODICE FISCALE Y DKN CR9X LZSVM ,  DATI ANAGRAFICI FORNO AGATOCLIA  29O9 1906 F <START:City> DAVERIO <END>  BR CODICE FISCALE
CODICE FISCALE FRDBG9 IW6AULSY5 ,  DATI ANAGRAFICI FORRILLO ALCEA  1 O40  3O 659 F <START:City> DAVOLI <END>  CA CODICE FISCALE
CODICE FISCALE 1WTKROYM65GQ P C ,  DATI ANAGRAFICI FORTE ALDOVINA  17111947 F <START:City> DAZIO <END>  CL CODICE FISCALE
CODICE FISCALE XC  UEZBTIPR6KLG ,  DATI ANAGRAFICI FORTEBRACCIO ACHILLEA  13 08 1954 F <START:City> DECIMOMANNU <END>  CB CODICE FISCALE
CODICE FISCALE  IZP W OVD1SXNR6 ,  DATI ANAGRAFICI FORTEGUERRA ADELFA  2109 1929 F <START:City> DECIMOPUTZU <END>  CI CODICE FISCALE
CODICE FISCALE 8 DXVRLQJFUZ6KMI ,  DATI ANAGRAFICI FORTETTO ADINOLFA  O 6 5 1 2017 F <START:City> DECOLLATURA <END>  CE CODICE FISCALE
